"Status","Year","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","25","25","41800","35070"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","480","455","33750","29750"
"In post","2021","Analysis","Charity Commission","Charity Commission","15","10","35830","32810"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","135","130","60200","56360"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","15","15","38790","38180"
"In post","2021","Analysis","Debt Management Office","HM Treasury","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","455","440","40290","37360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","290","285","43370","36630"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","410","385","44380","43020"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","75","70","38190","32840"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","250","245","43170","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","400","385","46700","43360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","290","275","52060","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","60","55","31040","31860"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","35","30","41980","38430"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","70","65","58060","58370"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","170","160","69960","65470"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
