"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","40","40","34800","30950"
"In post","2021","Asian","Animal and Plant Health Agency","55","55","27980","26530"
"In post","2021","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","470","460","45860","40600"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","105","105","46180","37680"
"In post","2021","Asian","Criminal Injuries Compensation Authority","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","30","30","42610","34800"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","40","40","36980","33550"
"In post","2021","Asian","Crown Prosecution Service","600","555","39420","34220"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","25","20","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","330","320","33820","31950"
"In post","2021","Asian","Defence Science and Technology Laboratory","60","60","41920","37530"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","450","440","43970","40050"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","125","125","46630","42110"
"In post","2021","Asian","Department for Education (excl. agencies)","460","450","40190","36500"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","250","245","39120","35260"
"In post","2021","Asian","Department for International Trade","210","205","42710","38540"
"In post","2021","Asian","Department for Transport (excl. agencies)","295","290","44820","42470"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","7345","6620","27750","27570"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","165","160","42090","36820"
"In post","2021","Asian","Disclosure Scotland","5","5","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","50","45","29040","21590"
"In post","2021","Asian","Driver and Vehicle Standards Agency","110","105","29400","30470"
"In post","2021","Asian","Education and Skills Funding Agency","205","195","39390","36960"
"In post","2021","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","60","60","34010","29260"
"In post","2021","Asian","Food Standards Agency","50","50","38640","32830"
"In post","2021","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","415","405","43910","38230"
"In post","2021","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","30","25","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","55","55","47770","49430"
"In post","2021","Asian","Government Legal Department","255","240","49460","51250"
"In post","2021","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","55","55","49050","43770"
"In post","2021","Asian","HM Courts and Tribunals Service","1480","1340","24900","22570"
"In post","2021","Asian","HM Land Registry","210","190","30840","27130"
"In post","2021","Asian","HM Prison and Probation Service","1515","1420","31090","30110"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","4200","3925","30870","29570"
"In post","2021","Asian","HM Treasury (excl. agencies)","195","195","43470","37900"
"In post","2021","Asian","Home Office (incl. agencies)","4495","4160","31280","28810"
"In post","2021","Asian","Insolvency Service","145","135","28880","25060"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","20","20","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","65","60","27360","22570"
"In post","2021","Asian","Maritime and Coastguard Agency","60","55","48570","50930"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","270","265","41320","33320"
"In post","2021","Asian","Met Office","20","20","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","900","875","33860","30750"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","210","205","40910","36340"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","465","455","38710","34380"
"In post","2021","Asian","National Crime Agency","240","235","36250","36200"
"In post","2021","Asian","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","20","20","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","100","95","40850","35010"
"In post","2021","Asian","Office of Gas and Electricity Markets","105","100","44120","39050"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","25","25","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","20","20","[c]","[c]"
"In post","2021","Asian","Office of the Public Guardian","415","385","21180","19930"
"In post","2021","Asian","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","15","15","[c]","[c]"
"In post","2021","Asian","Public Health England","715","665","42570","33100"
"In post","2021","Asian","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","10","10","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","30","25","26370","21050"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government (excl. agencies)","70","65","39690","38540"
"In post","2021","Asian","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","5","5","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","45","45","42230","38370"
"In post","2021","Asian","Social Security Scotland","25","25","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","15","15","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Submarine Delivery Agency","45","45","37800","33740"
"In post","2021","Asian","Teaching Regulation Agency","15","15","[c]","[c]"
"In post","2021","Asian","The National Archives","45","40","33000","30960"
"In post","2021","Asian","Transport Scotland","5","5","[c]","[c]"
"In post","2021","Asian","UK Export Finance","65","60","49250","42240"
"In post","2021","Asian","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","25","25","[c]","[c]"
"In post","2021","Asian","UK Space Agency","15","15","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","5","5","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","130","120","30310","29540"
"In post","2021","Asian","Valuation Office Agency","190","175","32600","30000"
"In post","2021","Asian","Vehicle Certification Agency","15","15","[c]","[c]"
"In post","2021","Asian","Veterinary Medicines Directorate","10","10","[c]","[c]"
"In post","2021","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","25","25","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","50","50","37770","34490"
"In post","2021","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","35","35","35580","35120"
"In post","2021","Black","Animal and Plant Health Agency","10","10","[c]","[c]"
"In post","2021","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office (excl. agencies)","255","255","41960","35590"
"In post","2021","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Companies House","5","5","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","40","40","42370","41790"
"In post","2021","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Commercial Service","15","15","[c]","[c]"
"In post","2021","Black","Crown Office and Procurator Fiscal Service","5","5","[c]","[c]"
"In post","2021","Black","Crown Prosecution Service","370","350","40320","32720"
"In post","2021","Black","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt Management Office","10","10","[c]","[c]"
"In post","2021","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
