"Status","Year","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","Heterosexual / straight","3125","2960","49120","51250"
"In post","2021","Attorney General's Departments","London","LGBO","265","255","49570","51250"
"In post","2021","Attorney General's Departments","London","Undeclared","250","235","51550","51830"
"In post","2021","Attorney General's Departments","London","Unknown","1045","960","52340","54770"
"In post","2021","Attorney General's Departments","Outside London","Heterosexual / straight","3635","3385","39970","38000"
"In post","2021","Attorney General's Departments","Outside London","LGBO","175","165","38610","30130"
"In post","2021","Attorney General's Departments","Outside London","Undeclared","135","125","39460","38000"
"In post","2021","Attorney General's Departments","Outside London","Unknown","1205","1080","42850","48080"
"In post","2021","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Heterosexual / straight","3220","3165","51980","54700"
"In post","2021","Cabinet Office","London","LGBO","365","360","47280","41820"
"In post","2021","Cabinet Office","London","Undeclared","405","400","50850","54700"
"In post","2021","Cabinet Office","London","Unknown","2505","2485","47150","34550"
"In post","2021","Cabinet Office","Outside London","Heterosexual / straight","1055","1000","36560","33060"
"In post","2021","Cabinet Office","Outside London","LGBO","65","65","32680","32000"
"In post","2021","Cabinet Office","Outside London","Undeclared","85","80","34630","33300"
"In post","2021","Cabinet Office","Outside London","Unknown","1150","1125","45480","36460"
"In post","2021","Cabinet Office","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Heterosexual / straight","140","135","41870","35900"
"In post","2021","Cabinet Office","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","440","440","34530","32000"
"In post","2021","Chancellor's other departments","London","Heterosexual / straight","265","255","60720","50560"
"In post","2021","Chancellor's other departments","London","LGBO","15","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Undeclared","75","70","58630","48770"
"In post","2021","Chancellor's other departments","London","Unknown","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Heterosexual / straight","30","30","49190","42400"
