"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Heterosexual / straight","45","40","26990","26720"
"In post","2021","Declared disabled","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Heterosexual / straight","60","60","59890","56650"
"In post","2021","Declared disabled","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Heterosexual / straight","230","220","38930","38630"
"In post","2021","Declared disabled","Commercial","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Undeclared","35","35","37380","37400"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Heterosexual / straight","45","40","27300","26670"
"In post","2021","Declared disabled","Communications","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Heterosexual / straight","30","30","56330","54800"
"In post","2021","Declared disabled","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","Heterosexual / straight","100","95","37130","36960"
"In post","2021","Declared disabled","Communications","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
