"Status","Year","Ethnicity","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","20","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","5","5","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South East (England)","30","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","415","410","47350","41820"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North West (England)","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
