"Status","Year","Age","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Female","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Female","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Male","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","Female","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Female","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Male","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Female","135","120","21550","20710"
"In post","2021","16-19","Declared non-disabled","No function","Male","95","95","21210","20600"
"In post","2021","16-19","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Female","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Male","50","50","18250","17780"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","Female","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","Male","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Female","155","150","22480","21010"
"In post","2021","16-19","Declared non-disabled","Unknown","Male","100","100","22550","21010"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","Female","15","10","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","Female","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","Male","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","Male","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","Male","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Legal","Female","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Legal","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","No function","Female","135","125","20640","20140"
"In post","2021","16-19","Unknown","No function","Male","100","95","20670","20140"
"In post","2021","16-19","Unknown","Project Delivery","Female","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","Male","50","50","17180","16780"
"In post","2021","16-19","Unknown","Property","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Property","Male","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","Male","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","55","55","21540","21430"
"In post","2021","16-19","Unknown","Unknown","Male","70","70","20410","21010"
"In post","2021","20-29","Declared disabled","Analysis","Female","85","85","33450","31810"
"In post","2021","20-29","Declared disabled","Analysis","Male","70","70","34750","33930"
"In post","2021","20-29","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","Female","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","Male","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","Female","50","45","30220","27280"
"In post","2021","20-29","Declared disabled","Communications","Male","35","35","30450","27190"
"In post","2021","20-29","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","Female","25","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","Male","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","Female","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","Male","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","Female","50","50","32740","31250"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","Male","70","70","31180","28590"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","Female","35","35","33540","31810"
"In post","2021","20-29","Declared disabled","Finance","Male","30","30","30440","27660"
"In post","2021","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","Female","95","95","31050","28000"
"In post","2021","20-29","Declared disabled","Human Resources","Male","40","40","32400","29130"
"In post","2021","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","Female","50","45","30940","28940"
"In post","2021","20-29","Declared disabled","Legal","Male","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","No function","Female","1280","1250","28820","27070"
"In post","2021","20-29","Declared disabled","No function","Male","805","800","29230","27960"
"In post","2021","20-29","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","Female","150","150","31770","30420"
"In post","2021","20-29","Declared disabled","Project Delivery","Male","155","155","30440","28630"
"In post","2021","20-29","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","Female","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","Male","25","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","Female","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","Male","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Female","1030","1000","27620","27570"
"In post","2021","20-29","Declared disabled","Unknown","Male","660","650","27070","27570"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Analysis","Female","650","645","36800","34330"
"In post","2021","20-29","Declared non-disabled","Analysis","Male","765","760","36950","34710"
"In post","2021","20-29","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Commercial","Female","290","290","31560","30090"
"In post","2021","20-29","Declared non-disabled","Commercial","Male","260","260","31440","30850"
"In post","2021","20-29","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Communications","Female","570","565","30820","27960"
"In post","2021","20-29","Declared non-disabled","Communications","Male","455","450","29870","25560"
"In post","2021","20-29","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Counter Fraud","Female","285","280","30030","26090"
"In post","2021","20-29","Declared non-disabled","Counter Fraud","Male","320","320","30380","28330"
"In post","2021","20-29","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Debt","Female","185","180","21470","20140"
"In post","2021","20-29","Declared non-disabled","Debt","Male","200","200","21770","20140"
"In post","2021","20-29","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Digital, Data & Technology","Female","420","415","34310","31810"
"In post","2021","20-29","Declared non-disabled","Digital, Data & Technology","Male","640","635","34100","31810"
"In post","2021","20-29","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Finance","Female","395","385","32400","30080"
"In post","2021","20-29","Declared non-disabled","Finance","Male","380","375","32950","30600"
"In post","2021","20-29","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Grants Management","Female","130","130","22440","21050"
"In post","2021","20-29","Declared non-disabled","Grants Management","Male","100","100","22320","21050"
"In post","2021","20-29","Declared non-disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Human Resources","Female","635","625","30990","29220"
"In post","2021","20-29","Declared non-disabled","Human Resources","Male","260","260","30400","27780"
"In post","2021","20-29","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Internal Audit","Female","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Internal Audit","Male","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Legal","Female","615","605","32770","29280"
"In post","2021","20-29","Declared non-disabled","Legal","Male","330","325","33780","29730"
"In post","2021","20-29","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","No function","Female","11480","11235","28830","26550"
"In post","2021","20-29","Declared non-disabled","No function","Male","8545","8480","29780","27260"
"In post","2021","20-29","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Project Delivery","Female","1325","1310","31350","30270"
"In post","2021","20-29","Declared non-disabled","Project Delivery","Male","1585","1580","30000","28790"
"In post","2021","20-29","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Property","Female","255","250","27530","25860"
"In post","2021","20-29","Declared non-disabled","Property","Male","280","275","28140","26650"
"In post","2021","20-29","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Security","Female","260","255","28660","26670"
"In post","2021","20-29","Declared non-disabled","Security","Male","455","455","26690","25680"
"In post","2021","20-29","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","Female","8130","7910","27490","27570"
"In post","2021","20-29","Declared non-disabled","Unknown","Male","6275","6215","27480","27570"
"In post","2021","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Analysis","Female","50","50","37110","35230"
"In post","2021","20-29","Undeclared","Analysis","Male","75","75","36920","32910"
"In post","2021","20-29","Undeclared","Commercial","Female","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Commercial","Male","20","20","[c]","[c]"
"In post","2021","20-29","Undeclared","Communications","Female","30","30","34600","33880"
"In post","2021","20-29","Undeclared","Communications","Male","35","35","31970","31040"
"In post","2021","20-29","Undeclared","Counter Fraud","Female","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Counter Fraud","Male","20","20","[c]","[c]"
"In post","2021","20-29","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Debt","Male","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Digital, Data & Technology","Female","25","25","[c]","[c]"
"In post","2021","20-29","Undeclared","Digital, Data & Technology","Male","45","45","32810","32900"
"In post","2021","20-29","Undeclared","Finance","Female","20","20","[c]","[c]"
"In post","2021","20-29","Undeclared","Finance","Male","25","25","[c]","[c]"
"In post","2021","20-29","Undeclared","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Human Resources","Female","25","25","[c]","[c]"
"In post","2021","20-29","Undeclared","Human Resources","Male","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Legal","Female","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","Legal","Male","5","5","[c]","[c]"
"In post","2021","20-29","Undeclared","No function","Female","725","710","30600","29750"
"In post","2021","20-29","Undeclared","No function","Male","680","675","31470","30210"
"In post","2021","20-29","Undeclared","Project Delivery","Female","55","55","32270","31810"
"In post","2021","20-29","Undeclared","Project Delivery","Male","115","110","30510","29640"
"In post","2021","20-29","Undeclared","Property","Female","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Property","Male","15","15","[c]","[c]"
"In post","2021","20-29","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Security","Male","25","25","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","Female","385","375","27380","27570"
"In post","2021","20-29","Undeclared","Unknown","Male","295","295","27120","27570"
"In post","2021","20-29","Unknown","Analysis","Female","370","365","34560","32540"
"In post","2021","20-29","Unknown","Analysis","Male","400","400","34900","32790"
"In post","2021","20-29","Unknown","Analysis","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","Female","150","150","37750","34550"
"In post","2021","20-29","Unknown","Commercial","Male","145","140","34900","30450"
"In post","2021","20-29","Unknown","Communications","Female","455","455","29640","25560"
"In post","2021","20-29","Unknown","Communications","Male","440","440","29280","25560"
"In post","2021","20-29","Unknown","Counter Fraud","Female","195","195","28410","25560"
"In post","2021","20-29","Unknown","Counter Fraud","Male","225","225","28440","25560"
"In post","2021","20-29","Unknown","Debt","Female","295","285","20810","20140"
"In post","2021","20-29","Unknown","Debt","Male","330","325","21140","20140"
"In post","2021","20-29","Unknown","Digital, Data & Technology","Female","285","285","33020","31810"
"In post","2021","20-29","Unknown","Digital, Data & Technology","Male","525","525","32430","31740"
