"Status","Year","Disability","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","London","Female","780","705","35470","31060"
"In post","2021","Declared disabled","Asian","London","Male","495","475","36330","32120"
"In post","2021","Declared disabled","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outside London","Female","785","685","27160","27380"
"In post","2021","Declared disabled","Asian","Outside London","Male","670","640","28640","27570"
"In post","2021","Declared disabled","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","London","Female","910","855","33220","31060"
"In post","2021","Declared disabled","Black","London","Male","300","295","34200","31060"
"In post","2021","Declared disabled","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","Female","410","375","29000","27570"
"In post","2021","Declared disabled","Black","Outside London","Male","185","175","29710","27570"
"In post","2021","Declared disabled","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","Female","255","240","38260","32820"
"In post","2021","Declared disabled","Mixed","London","Male","165","160","40380","34640"
"In post","2021","Declared disabled","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","Female","460","415","29220","27570"
"In post","2021","Declared disabled","Mixed","Outside London","Male","295","280","30840","27570"
"In post","2021","Declared disabled","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Female","90","85","37460","32520"
"In post","2021","Declared disabled","Other ethnicity","London","Male","70","70","42660","36260"
"In post","2021","Declared disabled","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","Female","95","85","30560","27570"
"In post","2021","Declared disabled","Other ethnicity","Outside London","Male","95","90","30880","27570"
"In post","2021","Declared disabled","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","Female","210","190","34960","31060"
"In post","2021","Declared disabled","Undeclared","London","Male","195","190","41320","36100"
"In post","2021","Declared disabled","Undeclared","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Outside London","Female","725","635","28260","27380"
"In post","2021","Declared disabled","Undeclared","Outside London","Male","890","835","31170","27570"
"In post","2021","Declared disabled","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","Female","125","115","38150","33670"
"In post","2021","Declared disabled","Unknown","London","Male","125","125","40760","36320"
"In post","2021","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Outside London","Female","540","465","28110","26160"
"In post","2021","Declared disabled","Unknown","Outside London","Male","445","410","30970","29030"
"In post","2021","Declared disabled","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","London","Female","2995","2825","42860","37560"
"In post","2021","Declared disabled","White","London","Male","2455","2385","44470","38590"
"In post","2021","Declared disabled","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","Outside London","Female","21460","18850","28760","27570"
