"Status","Year","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","85","80","32080","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Heterosexual / straight","260","245","28170","25190"
"In post","2021","Declared disabled","Animal and Plant Health Agency","LGBO","35","35","26200","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Undeclared","40","40","31010","27850"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Heterosexual / straight","525","505","43730","37300"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","LGBO","90","90","44810","40600"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Undeclared","80","75","44900","40580"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Heterosexual / straight","55","50","32520","25870"
"In post","2021","Declared disabled","Companies House","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
