"Status","Year","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","30090","26765","30670","27570"
"In post","2021","Declared disabled","Male","20460","19480","32840","28570"
"In post","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Female","177735","160190","32600","27570"
"In post","2021","Declared non-disabled","Male","143155","138865","35750","31420"
"In post","2021","Declared non-disabled","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","Female","13105","11900","32090","28060"
"In post","2021","Undeclared","Male","15635","14985","34790","31650"
"In post","2021","Unknown","Female","41740","38745","33020","28170"
"In post","2021","Unknown","Male","42900","41840","34970","31060"
"In post","2021","Unknown","Unknown","40","40","36990","33280"
"Leaver CS","2021","Declared disabled","Female","1665","[c]","28600","26220"
"Leaver CS","2021","Declared disabled","Male","1300","[c]","31220","27570"
"Leaver CS","2021","Declared disabled","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","8300","[c]","30850","26410"
"Leaver CS","2021","Declared non-disabled","Male","7205","[c]","35450","29080"
"Leaver CS","2021","Declared non-disabled","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","805","[c]","31440","27550"
"Leaver CS","2021","Undeclared","Male","930","[c]","34460","30800"
"Leaver CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","3850","[c]","31390","26970"
"Leaver CS","2021","Unknown","Male","3665","[c]","33840","28650"
"Leaver CS","2021","Unknown","Unknown","95","[c]","44220","40010"
"Leaver Dept.","2021","Declared disabled","Female","550","[c]","35310","32000"
"Leaver Dept.","2021","Declared disabled","Male","445","[c]","36780","32560"
"Leaver Dept.","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Female","3955","[c]","37350","32000"
"Leaver Dept.","2021","Declared non-disabled","Male","2990","[c]","38400","33210"
"Leaver Dept.","2021","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","310","[c]","37920","33300"
"Leaver Dept.","2021","Undeclared","Male","295","[c]","37100","33620"
"Leaver Dept.","2021","Unknown","Female","1795","[c]","37210","32620"
"Leaver Dept.","2021","Unknown","Male","1620","[c]","38520","33120"
"Leaver Dept.","2021","Unknown","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Female","2410","[c]","27800","27570"
"New entrant CS","2021","Declared disabled","Male","1600","[c]","28290","27570"
"New entrant CS","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Female","17090","[c]","28500","27570"
"New entrant CS","2021","Declared non-disabled","Male","13330","[c]","29890","27570"
"New entrant CS","2021","Declared non-disabled","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","1055","[c]","31060","27570"
"New entrant CS","2021","Undeclared","Male","845","[c]","32090","27850"
"New entrant CS","2021","Unknown","Female","11120","[c]","29380","26160"
"New entrant CS","2021","Unknown","Male","9675","[c]","30900","26590"
"New entrant CS","2021","Unknown","Unknown","45","[c]","36110","32540"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Disability","Self reported disability.","","","","","",""
