"Status","Year","Ethnicity","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","30","30","32790","30950"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","465","455","45910","40600"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
