"Status","Year","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","AA","245","230","20400","20560"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","AO","1020","950","25390","24180"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","EO","1610","1485","29030","29290"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","G6","65","65","71620","69800"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","G7","260","245","57450","55390"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","HEO","620","595","35480","35150"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","SCS level","30","30","88510","88300"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","SEO","395","380","43610","43710"
"In post","2021","Bedfordshire and Hertfordshire","Outside London","Unknown","295","275","28030","24170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA","610","580","20300","19560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","2970","2835","26650","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","2415","2295","29280","27900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6","175","170","70890","68140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G7","590","545","56760","54540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","1350","1285","34820","34290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","60","55","94980","92090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO","935","895","43200","42000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","490","460","29860","28200"
"In post","2021","Cheshire","Outside London","AA","155","140","20170","20600"
"In post","2021","Cheshire","Outside London","AO","1055","965","23590","21050"
"In post","2021","Cheshire","Outside London","EO","1435","1365","29550","27570"
"In post","2021","Cheshire","Outside London","G6","45","45","69800","66530"
"In post","2021","Cheshire","Outside London","G7","160","155","53500","52470"
"In post","2021","Cheshire","Outside London","HEO","555","535","36710","36740"
"In post","2021","Cheshire","Outside London","SCS level","10","10","84340","76720"
"In post","2021","Cheshire","Outside London","SEO","290","280","44610","45480"
"In post","2021","Cheshire","Outside London","Unknown","195","180","29400","28970"
"In post","2021","Cornwall and Isles of Scilly","Outside London","AA","110","100","18970","19560"
"In post","2021","Cornwall and Isles of Scilly","Outside London","AO","600","535","21210","21010"
"In post","2021","Cornwall and Isles of Scilly","Outside London","EO","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Outside London","G7","45","40","58440","53970"
"In post","2021","Cornwall and Isles of Scilly","Outside London","HEO","150","140","33270","33300"
"In post","2021","Cornwall and Isles of Scilly","Outside London","SEO","65","65","40930","40580"
"In post","2021","Cornwall and Isles of Scilly","Outside London","Unknown","50","45","29330","28200"
"In post","2021","Cumbria","Outside London","AA","90","80","19830","20060"
"In post","2021","Cumbria","Outside London","AO","840","745","22170","21050"
"In post","2021","Cumbria","Outside London","EO","575","525","26150","26330"
"In post","2021","Cumbria","Outside London","G6","15","15","61000","59980"
"In post","2021","Cumbria","Outside London","G7","60","60","52250","50540"
"In post","2021","Cumbria","Outside London","HEO","185","175","31330","30700"
"In post","2021","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Outside London","SEO","130","125","39870","37320"
"In post","2021","Cumbria","Outside London","Unknown","240","230","37820","34830"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","AA","375","345","19760","20600"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","AO","3415","3095","22360","21010"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","EO","3545","3260","26740","27380"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","G6","240","230","67660","64670"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","G7","900","860","54470","52580"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","HEO","2015","1915","32210","31810"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","SCS level","75","75","90770","84340"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","SEO","1215","1150","40980","39330"
"In post","2021","Derbyshire and Nottinghamshire","Outside London","Unknown","505","460","30010","30210"
"In post","2021","Devon","Outside London","AA","540","500","19490","19560"
"In post","2021","Devon","Outside London","AO","2550","2260","22950","21050"
"In post","2021","Devon","Outside London","EO","2345","2145","27020","27570"
"In post","2021","Devon","Outside London","G6","210","195","63720","61070"
"In post","2021","Devon","Outside London","G7","625","595","52040","49170"
"In post","2021","Devon","Outside London","HEO","1265","1190","34090","33300"
"In post","2021","Devon","Outside London","SCS level","30","30","95170","94070"
"In post","2021","Devon","Outside London","SEO","1140","1080","41590","40580"
"In post","2021","Devon","Outside London","Unknown","310","295","33880","32100"
"In post","2021","Dorset and Somerset","Outside London","AA","365","345","19550","19560"
"In post","2021","Dorset and Somerset","Outside London","AO","1355","1260","23210","21300"
"In post","2021","Dorset and Somerset","Outside London","EO","1615","1470","27360","27570"
"In post","2021","Dorset and Somerset","Outside London","G6","45","45","68030","67250"
"In post","2021","Dorset and Somerset","Outside London","G7","155","145","56440","53720"
"In post","2021","Dorset and Somerset","Outside London","HEO","920","870","33370","33290"
"In post","2021","Dorset and Somerset","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Dorset and Somerset","Outside London","SEO","515","490","42360","42510"
"In post","2021","Dorset and Somerset","Outside London","Unknown","230","205","28340","28200"
"In post","2021","East Anglia","Outside London","AA","935","870","19790","20440"
"In post","2021","East Anglia","Outside London","AO","4020","3675","24200","21580"
"In post","2021","East Anglia","Outside London","EO","3290","3040","27520","27570"
"In post","2021","East Anglia","Outside London","G6","165","160","68590","64670"
"In post","2021","East Anglia","Outside London","G7","565","540","55530","53150"
"In post","2021","East Anglia","Outside London","HEO","1870","1785","32740","33000"
"In post","2021","East Anglia","Outside London","SCS level","65","60","98590","92370"
"In post","2021","East Anglia","Outside London","SEO","1060","1015","41950","40580"
"In post","2021","East Anglia","Outside London","Unknown","490","450","29500","30210"
"In post","2021","East Wales","Outside London","AA","445","415","19350","19560"
"In post","2021","East Wales","Outside London","AO","5290","4770","21590","21010"
"In post","2021","East Wales","Outside London","EO","5505","5140","26710","27170"
"In post","2021","East Wales","Outside London","G6","490","470","67910","66440"
"In post","2021","East Wales","Outside London","G7","1920","1840","55110","55320"
"In post","2021","East Wales","Outside London","HEO","3550","3380","32740","31810"
"In post","2021","East Wales","Outside London","SCS level","260","255","87370","79280"
"In post","2021","East Wales","Outside London","SEO","2430","2335","41260","39820"
"In post","2021","East Wales","Outside London","Unknown","485","460","30050","30210"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","AA","290","270","20580","20600"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","AO","1835","1655","24450","22850"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","EO","1665","1525","27750","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","G6","10","10","77490","72360"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","G7","75","70","58260","55950"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","HEO","410","380","33650","33640"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","SEO","165","155","44950","43470"
"In post","2021","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","255","230","29930","30210"
"In post","2021","Eastern Scotland","Outside London","AA","1090","1015","21020","20810"
"In post","2021","Eastern Scotland","Outside London","AO","5155","4765","22230","21010"
"In post","2021","Eastern Scotland","Outside London","EO","5190","4855","28820","27570"
"In post","2021","Eastern Scotland","Outside London","G6","890","850","71250","73280"
"In post","2021","Eastern Scotland","Outside London","G7","1675","1595","56740","56120"
"In post","2021","Eastern Scotland","Outside London","HEO","3140","3005","34130","33620"
"In post","2021","Eastern Scotland","Outside London","SCS level","215","210","90690","83230"
