"Status","Year","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","AA/AO","12710","11815","25550","25110"
"In post","2021","London","EO","21305","20200","29990","30110"
"In post","2021","London","G6/G7","27640","26715","60520","58910"
"In post","2021","London","SCS level","4695","4525","90940","81900"
"In post","2021","London","SEO/HEO","33935","33155","38310","37560"
"In post","2021","London","Unknown","1650","1590","33840","33370"
"In post","2021","Outside London","AA/AO","127660","114515","22160","21010"
"In post","2021","Outside London","EO","106725","98425","27300","27570"
"In post","2021","Outside London","G6/G7","33255","31940","57340","54590"
"In post","2021","Outside London","SCS level","2285","2220","90250","83230"
"In post","2021","Outside London","SEO/HEO","92795","88505","36200","35000"
"In post","2021","Outside London","Unknown","12755","11845","31470","30210"
"In post","2021","Overseas","AA/AO","55","55","22460","23000"
"In post","2021","Overseas","EO","280","275","28020","27370"
"In post","2021","Overseas","G6/G7","1335","1330","59920","58030"
"In post","2021","Overseas","SCS level","285","285","85970","77460"
"In post","2021","Overseas","SEO/HEO","1545","1540","39920","36960"
"In post","2021","Overseas","Unknown","255","255","39460","36710"
"In post","2021","Unknown","AA/AO","240","220","22240","21010"
"In post","2021","Unknown","EO","590","555","28030","27570"
"In post","2021","Unknown","G6/G7","200","190","57540","54700"
"In post","2021","Unknown","SCS level","25","25","92980","77380"
"In post","2021","Unknown","SEO/HEO","765","750","34170","32000"
"In post","2021","Unknown","Unknown","1915","1910","37270","33570"
"Leaver CS","2021","London","AA/AO","1270","[c]","22940","22790"
"Leaver CS","2021","London","EO","1155","[c]","28680","28950"
"Leaver CS","2021","London","G6/G7","1080","[c]","60870","58490"
"Leaver CS","2021","London","SCS level","265","[c]","98840","92480"
"Leaver CS","2021","London","SEO/HEO","1430","[c]","37660","37290"
"Leaver CS","2021","London","Unknown","130","[c]","[c]","[c]"
"Leaver CS","2021","Outside London","AA/AO","10580","[c]","21020","21010"
"Leaver CS","2021","Outside London","EO","4980","[c]","27060","27570"
"Leaver CS","2021","Outside London","G6/G7","1345","[c]","60150","57580"
"Leaver CS","2021","Outside London","SCS level","160","[c]","95940","92600"
"Leaver CS","2021","Outside London","SEO/HEO","3965","[c]","36980","36030"
"Leaver CS","2021","Outside London","Unknown","650","[c]","36670","35530"
"Leaver CS","2021","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6/G7","25","[c]","63950","64220"
"Leaver CS","2021","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SEO/HEO","85","[c]","37580","36960"
"Leaver CS","2021","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","50","[c]","20970","21010"
"Leaver CS","2021","Unknown","EO","35","[c]","27660","27570"
"Leaver CS","2021","Unknown","G6/G7","50","[c]","65790","61790"
"Leaver CS","2021","Unknown","SCS level","20","[c]","106010","99170"
"Leaver CS","2021","Unknown","SEO/HEO","55","[c]","33360","32000"
"Leaver CS","2021","Unknown","Unknown","480","[c]","34870","32400"
"Leaver Dept.","2021","London","AA/AO","230","[c]","23780","23530"
"Leaver Dept.","2021","London","EO","805","[c]","28490","28000"
"Leaver Dept.","2021","London","G6/G7","1620","[c]","57710","55650"
"Leaver Dept.","2021","London","SCS level","275","[c]","88390","79490"
"Leaver Dept.","2021","London","SEO/HEO","2305","[c]","36710","35400"
"Leaver Dept.","2021","London","Unknown","95","[c]","[c]","[c]"
"Leaver Dept.","2021","Outside London","AA/AO","1905","[c]","20690","21010"
"Leaver Dept.","2021","Outside London","EO","1565","[c]","25940","26730"
"Leaver Dept.","2021","Outside London","G6/G7","550","[c]","55320","53880"
"Leaver Dept.","2021","Outside London","SCS level","45","[c]","84580","80360"
"Leaver Dept.","2021","Outside London","SEO/HEO","1630","[c]","34360","33300"
"Leaver Dept.","2021","Outside London","Unknown","120","[c]","42240","34210"
"Leaver Dept.","2021","Overseas","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G6/G7","50","[c]","57070","54970"
"Leaver Dept.","2021","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","SEO/HEO","50","[c]","36480","36900"
"Leaver Dept.","2021","Unknown","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","25","[c]","27610","27570"
"Leaver Dept.","2021","Unknown","G6/G7","80","[c]","57600","54700"
"Leaver Dept.","2021","Unknown","SCS level","15","[c]","81430","74420"
"Leaver Dept.","2021","Unknown","SEO/HEO","570","[c]","31830","32000"
"Leaver Dept.","2021","Unknown","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","London","AA/AO","2505","[c]","24220","24220"
"New entrant CS","2021","London","EO","4960","[c]","29520","31060"
"New entrant CS","2021","London","G6/G7","1845","[c]","58670","55710"
"New entrant CS","2021","London","SCS level","335","[c]","91150","82100"
"New entrant CS","2021","London","SEO/HEO","5200","[c]","35500","34550"
"New entrant CS","2021","London","Unknown","265","[c]","26420","26810"
"New entrant CS","2021","Outside London","AA/AO","17960","[c]","21190","21010"
"New entrant CS","2021","Outside London","EO","13490","[c]","26920","27570"
"New entrant CS","2021","Outside London","G6/G7","1865","[c]","56430","53010"
"New entrant CS","2021","Outside London","SCS level","170","[c]","92950","87000"
