"Status","Year","Age","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Female","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Male","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Female","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Tax","Female","25","25","[c]","[c]"
"In post","2021","16-19","Debt","Tax","Male","15","15","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","Male","15","15","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","Female","15","15","[c]","[c]"
"In post","2021","16-19","Finance","Finance","Male","25","20","[c]","[c]"
"In post","2021","16-19","Finance","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2021","16-19","Legal","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","16-19","Legal","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Operational Delivery","Female","185","170","21030","20610"
"In post","2021","16-19","No function","Operational Delivery","Male","105","100","21070","20600"
"In post","2021","16-19","No function","Other","Female","10","10","[c]","[c]"
"In post","2021","16-19","No function","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Policy","Female","15","15","[c]","[c]"
"In post","2021","16-19","No function","Policy","Male","20","20","[c]","[c]"
"In post","2021","16-19","No function","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2021","16-19","No function","Tax","Female","55","50","20140","20140"
"In post","2021","16-19","No function","Tax","Male","45","45","20140","20140"
"In post","2021","16-19","No function","Unknown","Female","15","15","[c]","[c]"
"In post","2021","16-19","No function","Unknown","Male","15","15","[c]","[c]"
"In post","2021","16-19","Project Delivery","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Other","Female","10","10","[c]","[c]"
"In post","2021","16-19","Project Delivery","Other","Male","15","15","[c]","[c]"
"In post","2021","16-19","Project Delivery","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Science and Engineering","Female","10","10","[c]","[c]"
"In post","2021","16-19","Project Delivery","Science and Engineering","Male","85","85","17430","16780"
"In post","2021","16-19","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2021","16-19","Property","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","Female","10","10","[c]","[c]"
"In post","2021","16-19","Property","Property","Male","15","15","[c]","[c]"
"In post","2021","16-19","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","Male","15","15","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","Female","40","35","21680","21430"
"In post","2021","16-19","Unknown","Operational Delivery","Male","30","25","21480","21430"
"In post","2021","16-19","Unknown","Other","Female","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Other","Male","40","40","19350","16470"
"In post","2021","16-19","Unknown","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","165","165","22450","21010"
"In post","2021","16-19","Unknown","Unknown","Male","105","105","22400","21010"
"In post","2021","20-29","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","Male","25","25","[c]","[c]"
