"Status","Year","Age","Disability","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Heterosexual / straight","30","30","21580","21010"
"In post","2021","16-19","Declared disabled","White","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Heterosexual / straight","55","50","22920","21010"
"In post","2021","16-19","Declared non-disabled","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Mixed","Heterosexual / straight","15","15","[c]","[c]"
