"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","Female","115","100","38990","30110"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","Male","55","55","49620","51120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","105","95","41740","36240"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","35","35","48060","50520"
"In post","2021","Attorney General's Departments","Cheshire","Warrington","Female","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Warrington","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","East Cumbria","Female","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","East Cumbria","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","West Cumbria","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","West Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Female","175","160","36680","28430"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Male","90","90","38510","34480"
"In post","2021","Attorney General's Departments","Devon","Devon CC","Female","55","50","38720","36240"
"In post","2021","Attorney General's Departments","Devon","Devon CC","Male","45","45","41380","36240"
"In post","2021","Attorney General's Departments","East Anglia","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Female","50","45","31690","26960"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Peterborough","Female","[c]","[c]","[c]","[c]"
