"Status","Year","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AO","Heterosexual / straight","1070","985","22400","21950"
"In post","2021","Attorney General's Departments","AO","LGBO","60","60","22190","21950"
"In post","2021","Attorney General's Departments","AO","Undeclared","50","45","22170","21950"
"In post","2021","Attorney General's Departments","AO","Unknown","340","300","22190","21950"
"In post","2021","Attorney General's Departments","EO","Heterosexual / straight","1210","1135","27930","27760"
"In post","2021","Attorney General's Departments","EO","LGBO","95","90","28370","27500"
"In post","2021","Attorney General's Departments","EO","Undeclared","65","60","28230","27710"
"In post","2021","Attorney General's Departments","EO","Unknown","390","355","28350","28430"
"In post","2021","Attorney General's Departments","G6","Heterosexual / straight","630","590","68850","67000"
"In post","2021","Attorney General's Departments","G6","LGBO","60","55","70150","67950"
"In post","2021","Attorney General's Departments","G6","Undeclared","65","60","68820","67210"
"In post","2021","Attorney General's Departments","G6","Unknown","335","305","69370","67240"
"In post","2021","Attorney General's Departments","G7","Heterosexual / straight","2550","2370","54890","52230"
"In post","2021","Attorney General's Departments","G7","LGBO","135","130","55050","52440"
"In post","2021","Attorney General's Departments","G7","Undeclared","140","130","54420","52390"
"In post","2021","Attorney General's Departments","G7","Unknown","855","765","57130","55610"
"In post","2021","Attorney General's Departments","HEO","Heterosexual / straight","810","785","35290","34230"
"In post","2021","Attorney General's Departments","HEO","LGBO","45","45","35850","33100"
"In post","2021","Attorney General's Departments","HEO","Undeclared","35","35","35120","33100"
"In post","2021","Attorney General's Departments","HEO","Unknown","175","170","35220","34480"
"In post","2021","Attorney General's Departments","SCS level","Heterosexual / straight","200","190","89080","82820"
"In post","2021","Attorney General's Departments","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Unknown","75","70","86130","81060"
"In post","2021","Attorney General's Departments","SEO","Heterosexual / straight","280","275","40240","39750"
"In post","2021","Attorney General's Departments","SEO","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO","Unknown","75","70","40250","39970"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AO","Heterosexual / straight","320","295","21880","20920"
"In post","2021","Cabinet Office","AO","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office","AO","Undeclared","35","30","22400","20920"
"In post","2021","Cabinet Office","AO","Unknown","175","165","21450","20920"
"In post","2021","Cabinet Office","EO","Heterosexual / straight","570","550","27130","27500"
"In post","2021","Cabinet Office","EO","LGBO","65","65","26950","27500"
"In post","2021","Cabinet Office","EO","Undeclared","65","65","27560","27500"
"In post","2021","Cabinet Office","EO","Unknown","190","185","27410","27500"
"In post","2021","Cabinet Office","G6","Heterosexual / straight","435","430","67600","66440"
"In post","2021","Cabinet Office","G6","LGBO","30","30","67390","66440"
"In post","2021","Cabinet Office","G6","Undeclared","50","45","67170","66340"
"In post","2021","Cabinet Office","G6","Unknown","330","325","75220","70880"
"In post","2021","Cabinet Office","G7","Heterosexual / straight","1205","1180","55580","54700"
"In post","2021","Cabinet Office","G7","LGBO","135","130","55760","54700"
"In post","2021","Cabinet Office","G7","Undeclared","145","140","56030","54700"
"In post","2021","Cabinet Office","G7","Unknown","700","685","54770","54700"
"In post","2021","Cabinet Office","HEO","Heterosexual / straight","1025","1010","34480","34550"
"In post","2021","Cabinet Office","HEO","LGBO","115","110","34380","34550"
"In post","2021","Cabinet Office","HEO","Undeclared","115","115","34530","34550"
"In post","2021","Cabinet Office","HEO","Unknown","2010","2000","30550","29250"
"In post","2021","Cabinet Office","SCS level","Heterosexual / straight","405","395","96830","87750"
"In post","2021","Cabinet Office","SCS level","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office","SCS level","Undeclared","45","45","93770","88590"
"In post","2021","Cabinet Office","SCS level","Unknown","500","495","88640","73450"
"In post","2021","Cabinet Office","SEO","Heterosexual / straight","450","440","40570","40600"
"In post","2021","Cabinet Office","SEO","LGBO","45","45","40540","40600"
"In post","2021","Cabinet Office","SEO","Undeclared","55","55","40970","40600"
"In post","2021","Cabinet Office","SEO","Unknown","200","195","40470","40600"
"In post","2021","Chancellor's other departments","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AO","Undeclared","[c]","[c]","[c]","[c]"
