"Status","Year","Disability","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Male","40","40","37730","35010"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Female","35","30","37560","35060"
"In post","2021","Declared disabled","Asian","Human Resources","Male","10","10","[c]","[c]"
