"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AO","Heterosexual / straight","130","120","22920","23520"
"In post","2021","Asian","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AO","Unknown","35","30","22680","23500"
"In post","2021","Asian","Attorney General's Departments","EO","Heterosexual / straight","145","135","27850","27580"
"In post","2021","Asian","Attorney General's Departments","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6","Heterosexual / straight","50","45","67150","65680"
"In post","2021","Asian","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G7","Heterosexual / straight","290","270","54420","51730"
"In post","2021","Asian","Attorney General's Departments","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G7","Unknown","40","35","56110","54910"
"In post","2021","Asian","Attorney General's Departments","HEO","Heterosexual / straight","100","95","36240","35290"
"In post","2021","Asian","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AO","LGBO","[c]","[c]","[c]","[c]"
