"Status","Year","Age","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
