"Status","Year","Disability","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","55","55","41990","35590"
"In post","2021","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Commercial Service","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service","55","45","40240","34480"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Science and Technology Laboratory","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","42980","34610"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education (excl. agencies)","35","35","38700","36500"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","37410","36460"
"In post","2021","Declared disabled","Asian","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport (excl. agencies)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","980","880","27730","27570"
"In post","2021","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Driver and Vehicle Standards Agency","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Education and Skills Funding Agency","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","FCDO Services","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","40","35","39270","35700"
"In post","2021","Declared disabled","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Internal Audit Agency","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Legal Department","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
