"Status","Year","Age","Disability","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Female","25","25","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Female","55","55","25460","25110"
"In post","2021","16-19","Declared non-disabled","London","Male","40","40","25550","25170"
"In post","2021","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","Female","315","300","21340","21010"
"In post","2021","16-19","Declared non-disabled","Outside London","Male","280","275","20680","20900"
"In post","2021","16-19","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Female","15","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Female","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Female","230","220","20730","20140"
"In post","2021","16-19","Unknown","Outside London","Male","245","235","20210","20140"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","35","35","19210","16470"
"In post","2021","20-29","Declared disabled","London","Female","915","900","34950","32540"
"In post","2021","20-29","Declared disabled","London","Male","530","530","35730","33410"
"In post","2021","20-29","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Outside London","Female","1995","1940","26090","25480"
"In post","2021","20-29","Declared disabled","Outside London","Male","1445","1430","26390","25790"
"In post","2021","20-29","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","Male","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Female","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Male","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","London","Female","7560","7500","35860","33510"
