"Status","Year","Age","Disability","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
