"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","AA","Female","125","105","21890","22210"
"In post","2021","Asian","London","AA","Male","145","140","22400","22210"
"In post","2021","Asian","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","AO","Female","1390","1180","24700","25110"
"In post","2021","Asian","London","AO","Male","765","735","25790","25110"
"In post","2021","Asian","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","EO","Female","2815","2545","29850","30110"
"In post","2021","Asian","London","EO","Male","1745","1700","29770","29970"
"In post","2021","Asian","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","G6","Female","270","255","68510","66830"
"In post","2021","Asian","London","G6","Male","190","190","70130","68720"
"In post","2021","Asian","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","G7","Female","930","895","56180","54770"
"In post","2021","Asian","London","G7","Male","700","690","57340","57430"
"In post","2021","Asian","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","HEO","Female","1525","1465","35300","35200"
"In post","2021","Asian","London","HEO","Male","1065","1045","35650","35220"
"In post","2021","Asian","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","SCS level","Female","115","110","90300","79930"
"In post","2021","Asian","London","SCS level","Male","105","100","93540","90000"
"In post","2021","Asian","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","SEO","Female","875","850","42280","41970"
"In post","2021","Asian","London","SEO","Male","675","665","43170","42000"
"In post","2021","Asian","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Unknown","Female","95","90","32490","32090"
"In post","2021","Asian","London","Unknown","Male","35","35","31180","32090"
"In post","2021","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","AA","Female","170","140","19360","19560"
"In post","2021","Asian","Outside London","AA","Male","205","195","19900","19560"
"In post","2021","Asian","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","AO","Female","2855","2345","21020","21010"
"In post","2021","Asian","Outside London","AO","Male","2275","2145","21460","21010"
"In post","2021","Asian","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","EO","Female","2760","2475","26870","27570"
"In post","2021","Asian","Outside London","EO","Male","2400","2350","26840","27570"
"In post","2021","Asian","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","G6","Female","65","60","67570","65580"
"In post","2021","Asian","Outside London","G6","Male","75","75","68900","66260"
"In post","2021","Asian","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","G7","Female","340","320","53540","52570"
"In post","2021","Asian","Outside London","G7","Male","390","385","54710","52580"
"In post","2021","Asian","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","HEO","Female","925","880","31860","31810"
"In post","2021","Asian","Outside London","HEO","Male","1115","1080","32570","31810"
"In post","2021","Asian","Outside London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","SCS level","Female","45","40","100570","98400"
"In post","2021","Asian","Outside London","SCS level","Male","35","35","91470","88900"
"In post","2021","Asian","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","SEO","Female","535","515","39720","38630"
"In post","2021","Asian","Outside London","SEO","Male","620","615","41670","39100"
"In post","2021","Asian","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","Unknown","Female","310","280","28480","28200"
"In post","2021","Asian","Outside London","Unknown","Male","150","140","31090","30210"
"In post","2021","Asian","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Female","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Male","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6","Female","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","G6","Male","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G7","Female","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","G7","Male","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","Female","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","Male","20","20","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","Male","10","10","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AO","Female","50","35","24130","25110"
"In post","2021","Asian","Unknown","AO","Male","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Female","45","40","29430","30330"
"In post","2021","Asian","Unknown","EO","Male","25","25","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","Female","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","Male","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","Female","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","AA","Female","160","145","23050","22650"
"In post","2021","Black","London","AA","Male","145","140","23170","22650"
"In post","2021","Black","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","AO","Female","1260","1150","25140","25110"
"In post","2021","Black","London","AO","Male","725","710","27810","25630"
"In post","2021","Black","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","EO","Female","2515","2390","30130","31060"
"In post","2021","Black","London","EO","Male","1025","1005","30280","31060"
"In post","2021","Black","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","G6","Female","95","95","69290","68410"
"In post","2021","Black","London","G6","Male","65","65","70580","69390"
"In post","2021","Black","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","G7","Female","525","515","56290","55000"
"In post","2021","Black","London","G7","Male","285","285","57520","57050"
"In post","2021","Black","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","HEO","Female","1140","1120","35170","35070"
"In post","2021","Black","London","HEO","Male","530","525","35810","35310"
"In post","2021","Black","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","SCS level","Female","40","35","86660","77480"
"In post","2021","Black","London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Black","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","SEO","Female","655","645","42470","41970"
"In post","2021","Black","London","SEO","Male","325","325","43390","42170"
"In post","2021","Black","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Unknown","Female","360","355","32600","31670"
"In post","2021","Black","London","Unknown","Male","90","90","33190","30200"
"In post","2021","Black","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","AA","Female","85","75","19660","19560"
"In post","2021","Black","Outside London","AA","Male","125","125","20760","20600"
"In post","2021","Black","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","AO","Female","950","845","21490","21010"
"In post","2021","Black","Outside London","AO","Male","620","595","23880","21180"
"In post","2021","Black","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","EO","Female","1155","1080","27170","27570"
"In post","2021","Black","Outside London","EO","Male","690","680","27500","27570"
"In post","2021","Black","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","G6","Female","15","15","[c]","[c]"
"In post","2021","Black","Outside London","G6","Male","15","15","[c]","[c]"
"In post","2021","Black","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","G7","Female","150","145","53080","51970"
"In post","2021","Black","Outside London","G7","Male","100","100","54120","52270"
"In post","2021","Black","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","HEO","Female","395","380","32000","31810"
