"Status","Year","Age","Disability","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackburn with Darwen","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackburn with Darwen","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brent","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brent","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Buckinghamshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Buckinghamshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
