"Status","Year","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Heterosexual / straight","2070","1965","38920","36300"
"In post","2021","Commercial","Female","LGBO","60","60","35350","32850"
"In post","2021","Commercial","Female","Undeclared","250","230","38420","36290"
"In post","2021","Commercial","Female","Unknown","480","455","38680","37300"
"In post","2021","Commercial","Male","Heterosexual / straight","1700","1680","42790","40080"
"In post","2021","Commercial","Male","LGBO","105","105","38190","34710"
"In post","2021","Commercial","Male","Undeclared","245","240","41620","39750"
"In post","2021","Commercial","Male","Unknown","450","440","41890","39620"
"In post","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Heterosexual / straight","1580","1500","41540","38540"
"In post","2021","Communications","Female","LGBO","75","75","39570","36780"
"In post","2021","Communications","Female","Undeclared","165","155","38970","37390"
"In post","2021","Communications","Female","Unknown","510","490","42160","38640"
"In post","2021","Communications","Male","Heterosexual / straight","995","985","41560","37660"
"In post","2021","Communications","Male","LGBO","125","125","43110","40960"
"In post","2021","Communications","Male","Undeclared","145","140","38520","36660"
"In post","2021","Communications","Male","Unknown","365","365","42990","38970"
"In post","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Heterosexual / straight","65","60","45090","41600"
"In post","2021","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Corporate Finance","Male","Heterosexual / straight","55","55","52090","47140"
"In post","2021","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
