"Status","Year","Age","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","22040","21010"
"In post","2021","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","15","15","20280","20600"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","15","15","24100","22590"
"In post","2021","16-19","East of England","East Anglia","30","25","22560","21430"
"In post","2021","16-19","East of England","Essex","15","15","22070","21430"
"In post","2021","16-19","London","Inner London - East","25","25","24710","23550"
"In post","2021","16-19","London","Inner London - West","100","100","25670","25170"
"In post","2021","16-19","London","Outer London - East and North East","10","10","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","10","10","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","15","10","22290","22100"
"In post","2021","16-19","North East (England)","Northumberland and Tyne and Wear","80","75","20990","20140"
"In post","2021","16-19","North East (England)","Tees Valley and Durham","15","15","21600","21010"
"In post","2021","16-19","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2021","16-19","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester","45","45","21710","21010"
"In post","2021","16-19","North West (England)","Lancashire","40","35","20740","21010"
"In post","2021","16-19","North West (England)","Merseyside","50","45","20650","20140"
"In post","2021","16-19","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Eastern Scotland","95","95","21110","20930"
"In post","2021","16-19","Scotland","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Southern Scotland","20","20","19000","18470"
"In post","2021","16-19","Scotland","West Central Scotland","50","45","20610","20140"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","40","40","22720","21600"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","30","25","19960","19720"
"In post","2021","16-19","South East (England)","Kent","40","40","21940","21430"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","15","15","24160","24370"
"In post","2021","16-19","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","25","25","19300","19130"
"In post","2021","16-19","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","150","150","18720","17780"
"In post","2021","16-19","Unknown","Unknown","40","40","19120","15940"
"In post","2021","16-19","Wales","East Wales","70","70","20160","20140"
"In post","2021","16-19","Wales","West Wales and The Valleys","65","55","20480","21010"
"In post","2021","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","10","10","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Shropshire and Staffordshire","15","15","21430","21590"
"In post","2021","16-19","West Midlands (England)","West Midlands","35","30","21210","20140"
"In post","2021","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","25","25","21410","21010"
"In post","2021","16-19","Yorkshire and The Humber","West Yorkshire","65","65","20970","20140"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","1860","1825","25940","25560"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","870","850","23930","22920"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","280","280","25570","26300"
"In post","2021","20-29","East of England","Bedfordshire and Hertfordshire","695","685","28360","27850"
"In post","2021","20-29","East of England","East Anglia","1505","1470","25670","25480"
"In post","2021","20-29","East of England","Essex","670","660","26630","25560"
"In post","2021","20-29","London","Inner London - East","3040","3005","33420","31060"
"In post","2021","20-29","London","Inner London - West","16485","16420","37380","34260"
"In post","2021","20-29","London","Outer London - East and North East","680","675","29280","31060"
"In post","2021","20-29","London","Outer London - South","1400","1390","32130","29570"
"In post","2021","20-29","London","Outer London - West and North West","1395","1375","29670","29250"
"In post","2021","20-29","North East (England)","Northumberland and Tyne and Wear","2690","2630","25300","25270"
"In post","2021","20-29","North East (England)","Tees Valley and Durham","1240","1205","24150","22850"
"In post","2021","20-29","North West (England)","Cheshire","630","630","26980","27570"
"In post","2021","20-29","North West (England)","Cumbria","220","220","23770","21050"
"In post","2021","20-29","North West (England)","Greater Manchester","3275","3230","26820","25560"
"In post","2021","20-29","North West (England)","Lancashire","1560","1520","24090","22850"
"In post","2021","20-29","North West (England)","Merseyside","2660","2580","24690","24880"
"In post","2021","20-29","Northern Ireland","Northern Ireland","425","405","23340","20310"
"In post","2021","20-29","Overseas","Overseas","310","310","37350","34220"
"In post","2021","20-29","Scotland","Eastern Scotland","2960","2910","26860","25870"
"In post","2021","20-29","Scotland","Highlands and Islands","190","190","24720","23130"
"In post","2021","20-29","Scotland","North Eastern Scotland","230","225","27170","26570"
"In post","2021","20-29","Scotland","Southern Scotland","710","695","25620","24110"
"In post","2021","20-29","Scotland","West Central Scotland","2430","2370","25660","24610"
"In post","2021","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","1480","1470","27560","27570"
"In post","2021","20-29","South East (England)","Hampshire and Isle of Wight","1925","1890","27460","26970"
"In post","2021","20-29","South East (England)","Kent","1210","1200","26790","26420"
"In post","2021","20-29","South East (England)","Surrey, East and West Sussex","1110","1095","26960","27570"
"In post","2021","20-29","South West (England)","Cornwall and Isles of Scilly","120","115","23510","21010"
"In post","2021","20-29","South West (England)","Devon","1035","1015","25870","24890"
"In post","2021","20-29","South West (England)","Dorset and Somerset","550","540","25300","24920"
"In post","2021","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5345","5270","27730","27540"
"In post","2021","20-29","Unknown","Unknown","890","890","29890","29250"
"In post","2021","20-29","Wales","East Wales","3470","3420","26450","25300"
"In post","2021","20-29","Wales","West Wales and The Valleys","1780","1710","23780","21590"
