"Status","Year","Region_ITL1","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","Outside London","AA/AO","490","425","21470","21010"
"In post","2021","East Midlands (England)","Derby","Outside London","EO","305","275","27480","27570"
"In post","2021","East Midlands (England)","Derby","Outside London","G6/G7","25","25","71960","77220"
"In post","2021","East Midlands (England)","Derby","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Outside London","SEO/HEO","55","50","35330","34290"
"In post","2021","East Midlands (England)","Derby","Outside London","Unknown","140","125","30130","29930"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","AA/AO","105","85","20350","20300"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","EO","205","175","27320","27570"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","SEO/HEO","35","30","34740","34290"
"In post","2021","East Midlands (England)","East Derbyshire","Outside London","Unknown","45","45","29220","28200"
"In post","2021","East Midlands (England)","Leicester","Outside London","AA/AO","1200","1055","21120","21010"
"In post","2021","East Midlands (England)","Leicester","Outside London","EO","750","685","27030","27570"
"In post","2021","East Midlands (England)","Leicester","Outside London","G6/G7","110","105","54290","52580"
"In post","2021","East Midlands (England)","Leicester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Outside London","SEO/HEO","385","360","35110","33840"
"In post","2021","East Midlands (England)","Leicester","Outside London","Unknown","165","150","29050","28200"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","AA/AO","960","890","23180","21580"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","EO","545","510","27620","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","G6/G7","60","55","65970","60470"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","SEO/HEO","415","395","38370","37890"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Outside London","Unknown","45","40","33460","33030"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","AA/AO","1295","1210","22240","21010"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","EO","750","700","27810","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","G6/G7","80","75","59080","55270"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","SEO/HEO","570","550","36560","35050"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","Unknown","135","130","30830","30210"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","AA/AO","205","165","21220","21010"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","EO","250","235","27640","27570"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","SEO/HEO","30","25","34150","33300"
"In post","2021","East Midlands (England)","North Northamptonshire","Outside London","Unknown","25","25","28140","30210"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","AA/AO","420","395","24120","23240"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","EO","320","295","27800","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","G6/G7","20","20","60760","57510"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","SEO/HEO","135","130","39020","37280"
"In post","2021","East Midlands (England)","North Nottinghamshire","Outside London","Unknown","95","90","31560","30880"
"In post","2021","East Midlands (England)","Nottingham","Outside London","AA/AO","2085","1895","21190","20600"
"In post","2021","East Midlands (England)","Nottingham","Outside London","EO","2145","1995","26100","25860"
"In post","2021","East Midlands (England)","Nottingham","Outside London","G6/G7","950","915","56200","52580"
"In post","2021","East Midlands (England)","Nottingham","Outside London","SCS level","65","60","90540","82670"
"In post","2021","East Midlands (England)","Nottingham","Outside London","SEO/HEO","2535","2410","34880","32160"
"In post","2021","East Midlands (England)","Nottingham","Outside London","Unknown","175","155","28100","28200"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","AA/AO","345","310","24550","22850"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","EO","370","330","27880","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","G6/G7","105","95","60820","57510"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","SEO/HEO","295","275","38080","36480"
"In post","2021","East Midlands (England)","South and West Derbyshire","Outside London","Unknown","40","35","33450","37170"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","AA/AO","350","325","24130","22160"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","EO","205","190","28130","27570"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","G6/G7","35","35","63650","59730"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","SEO/HEO","175","165","37620","36480"
"In post","2021","East Midlands (England)","South Nottinghamshire","Outside London","Unknown","10","10","36100","37850"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","AA/AO","550","500","21800","20320"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","EO","275","255","27210","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","G6/G7","25","25","59710","55610"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","SEO/HEO","125","115","36110","35310"
"In post","2021","East Midlands (England)","West Northamptonshire","Outside London","Unknown","120","115","28720","28200"
"In post","2021","East of England","Bedford","Outside London","AA/AO","290","280","25890","25840"
