"Status","Year","Age","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","Heterosexual / straight","380","365","21990","21010"
"In post","2021","16-19","Female","LGBO","30","25","[c]","[c]"
"In post","2021","16-19","Female","Undeclared","40","35","23080","21520"
"In post","2021","16-19","Female","Unknown","230","220","20780","20140"
"In post","2021","16-19","Male","Heterosexual / straight","335","330","21380","21010"
"In post","2021","16-19","Male","LGBO","25","25","[c]","[c]"
"In post","2021","16-19","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","16-19","Male","Unknown","275","265","20190","20140"
"In post","2021","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Female","Heterosexual / straight","26345","25785","29110","27570"
"In post","2021","20-29","Female","LGBO","2970","2930","29100","27570"
"In post","2021","20-29","Female","Undeclared","2100","2055","29710","27570"
"In post","2021","20-29","Female","Unknown","10580","10360","28130","26670"
"In post","2021","20-29","Male","Heterosexual / straight","20740","20600","29320","27570"
"In post","2021","20-29","Male","LGBO","2445","2425","31040","27850"
"In post","2021","20-29","Male","Undeclared","1840","1820","30800","28650"
"In post","2021","20-29","Male","Unknown","10380","10295","28430","26670"
"In post","2021","20-29","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Female","Heterosexual / straight","38205","34820","33980","30220"
"In post","2021","30-39","Female","LGBO","2645","2565","33630","30450"
"In post","2021","30-39","Female","Undeclared","3580","3270","33600","29540"
"In post","2021","30-39","Female","Unknown","11080","9960","32990","27570"
"In post","2021","30-39","Male","Heterosexual / straight","30795","30535","35020","31220"
"In post","2021","30-39","Male","LGBO","2675","2655","37270","31990"
"In post","2021","30-39","Male","Undeclared","3580","3535","35860","31870"
"In post","2021","30-39","Male","Unknown","10830","10705","34260","31060"
"In post","2021","30-39","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Female","Heterosexual / straight","42915","38665","35510","30620"
"In post","2021","40-49","Female","LGBO","1705","1625","36420","31650"
"In post","2021","40-49","Female","Undeclared","5450","4880","33810","29080"
"In post","2021","40-49","Female","Unknown","12630","10980","33800","27570"
"In post","2021","40-49","Male","Heterosexual / straight","32140","31765","38100","32690"
"In post","2021","40-49","Male","LGBO","2135","2100","39690","31990"
"In post","2021","40-49","Male","Undeclared","4835","4770","36720","31900"
"In post","2021","40-49","Male","Unknown","10475","10290","37130","31810"
"In post","2021","40-49","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Female","Heterosexual / straight","51700","47270","32930","27570"
