"Status","Year","Age","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Female","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Male","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","15","15","[c]","[c]"
