"Status","Year","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","Heterosexual / straight","585","570","47980","43800"
"In post","2021","Commercial","London","LGBO","35","35","46320","41300"
"In post","2021","Commercial","London","Undeclared","65","65","48150","44870"
"In post","2021","Commercial","London","Unknown","195","195","46890","40650"
"In post","2021","Commercial","Outside London","Heterosexual / straight","3145","3035","39240","36780"
"In post","2021","Commercial","Outside London","LGBO","130","130","34670","32710"
"In post","2021","Commercial","Outside London","Undeclared","425","400","38730","36640"
"In post","2021","Commercial","Outside London","Unknown","730","700","38400","37360"
"In post","2021","Commercial","Overseas","Heterosexual / straight","30","30","49730","42820"
"In post","2021","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Heterosexual / straight","1280","1250","46870","42840"
"In post","2021","Communications","London","LGBO","135","130","45210","42710"
"In post","2021","Communications","London","Undeclared","140","140","44610","41860"
"In post","2021","Communications","London","Unknown","540","530","45480","41760"
"In post","2021","Communications","Outside London","Heterosexual / straight","1290","1230","36280","33740"
"In post","2021","Communications","Outside London","LGBO","70","65","35220","32300"
"In post","2021","Communications","Outside London","Undeclared","170","155","33880","32090"
"In post","2021","Communications","Outside London","Unknown","335","320","37620","35390"
"In post","2021","Communications","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
