"Status","Year","Disability","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Heterosexual / straight","50","50","39510","35180"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Heterosexual / straight","45","45","39870","36800"
"In post","2021","Declared disabled","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Heterosexual / straight","35","35","39360","36220"
"In post","2021","Declared disabled","Asian","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
