"Status","Year","Disability","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Economics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Statistics","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Commercial","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Communications","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Tax","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Operational Delivery","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Other","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Tax","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Operational Delivery","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Digital, Data and Technology","45","40","36070","32540"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Finance","35","35","39550","36800"
"In post","2021","Declared disabled","Asian","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Project Delivery","[c]","[c]","[c]","[c]"
