"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","1265","1180","24420","22910"
"In post","2021","Bedfordshire and Hertfordshire","EO","1610","1485","29030","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","325","310","60350","59730"
"In post","2021","Bedfordshire and Hertfordshire","SCS level","30","30","88510","88300"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","1010","975","38640","37660"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","295","275","28030","24170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","3580","3415","25570","23270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","2415","2295","29280","27900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","765","715","59950","57260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS level","60","55","94980","92090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","2285","2185","38250","37160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","490","460","29860","28200"
"In post","2021","Cheshire","AA/AO","1210","1110","23160","21010"
"In post","2021","Cheshire","EO","1435","1365","29550","27570"
"In post","2021","Cheshire","G6/G7","205","200","57000","55740"
"In post","2021","Cheshire","SCS level","10","10","84340","76720"
"In post","2021","Cheshire","SEO/HEO","845","815","39430","38310"
"In post","2021","Cheshire","Unknown","195","180","29400","28970"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","710","635","20860","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","50","45","58500","54990"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","215","205","35630","34160"
"In post","2021","Cornwall and Isles of Scilly","Unknown","50","45","29330","28200"
"In post","2021","Cumbria","AA/AO","925","825","21950","21050"
"In post","2021","Cumbria","EO","575","525","26150","26330"
"In post","2021","Cumbria","G6/G7","75","75","53860","52920"
"In post","2021","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","320","300","34880","33580"
"In post","2021","Cumbria","Unknown","240","230","37820","34830"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","3790","3435","22100","21010"
"In post","2021","Derbyshire and Nottinghamshire","EO","3545","3260","26740","27380"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","1140","1090","57230","53170"
"In post","2021","Derbyshire and Nottinghamshire","SCS level","75","75","90770","84340"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","3230","3065","35500","33520"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","505","460","30010","30210"
"In post","2021","Devon","AA/AO","3095","2760","22350","21010"
"In post","2021","Devon","EO","2345","2145","27020","27570"
"In post","2021","Devon","G6/G7","835","795","54950","52460"
"In post","2021","Devon","SCS level","30","30","95170","94070"
"In post","2021","Devon","SEO/HEO","2405","2275","37650","38160"
"In post","2021","Devon","Unknown","310","295","33880","32100"
"In post","2021","Dorset and Somerset","AA/AO","1720","1605","22430","21010"
"In post","2021","Dorset and Somerset","EO","1615","1470","27360","27570"
"In post","2021","Dorset and Somerset","G6/G7","200","190","59090","55310"
"In post","2021","Dorset and Somerset","SCS level","10","10","[c]","[c]"
"In post","2021","Dorset and Somerset","SEO/HEO","1430","1360","36590","34290"
"In post","2021","Dorset and Somerset","Unknown","230","205","28340","28200"
"In post","2021","East Anglia","AA/AO","4955","4550","23370","21430"
"In post","2021","East Anglia","EO","3290","3040","27520","27570"
"In post","2021","East Anglia","G6/G7","725","695","58460","54990"
"In post","2021","East Anglia","SCS level","65","60","98590","92370"
"In post","2021","East Anglia","SEO/HEO","2935","2800","36080","34260"
"In post","2021","East Anglia","Unknown","490","450","29500","30210"
"In post","2021","East Wales","AA/AO","5735","5185","21420","21010"
"In post","2021","East Wales","EO","5505","5140","26710","27170"
"In post","2021","East Wales","G6/G7","2410","2315","57710","57720"
"In post","2021","East Wales","SCS level","260","255","87370","79280"
"In post","2021","East Wales","SEO/HEO","5980","5710","36200","36030"
"In post","2021","East Wales","Unknown","485","460","30050","30210"
"In post","2021","East Yorkshire and Northern Lincolnshire","AA/AO","2130","1925","23920","21950"
"In post","2021","East Yorkshire and Northern Lincolnshire","EO","1665","1525","27750","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","G6/G7","85","80","60970","58040"
"In post","2021","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","SEO/HEO","575","540","36900","34290"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","255","230","29930","30210"
"In post","2021","Eastern Scotland","AA/AO","6245","5780","22020","21010"
"In post","2021","Eastern Scotland","EO","5190","4855","28820","27570"
"In post","2021","Eastern Scotland","G6/G7","2565","2445","61770","61010"
"In post","2021","Eastern Scotland","SCS level","215","210","90690","83230"
"In post","2021","Eastern Scotland","SEO/HEO","5590","5330","38330","37580"
"In post","2021","Eastern Scotland","Unknown","30","30","40730","40970"
"In post","2021","Essex","AA/AO","1610","1460","23720","21780"
"In post","2021","Essex","EO","2275","2080","28700","29290"
"In post","2021","Essex","G6/G7","290","275","58860","53360"
"In post","2021","Essex","SCS level","30","25","96810","99910"
"In post","2021","Essex","SEO/HEO","1145","1070","36760","35120"
"In post","2021","Essex","Unknown","245","225","27880","24800"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","3875","3590","22140","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5995","5590","25950","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","5110","4915","56120","54540"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","305","295","96380","90530"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","12120","11610","36010","35810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1910","1830","39200","36500"
"In post","2021","Greater Manchester","AA/AO","5710","5165","21290","21010"
"In post","2021","Greater Manchester","EO","5800","5455","26560","27280"
"In post","2021","Greater Manchester","G6/G7","2090","2030","56690","52580"
"In post","2021","Greater Manchester","SCS level","140","135","86860","81150"
"In post","2021","Greater Manchester","SEO/HEO","5220","5015","34740","32540"
"In post","2021","Greater Manchester","Unknown","755","705","29800","30210"
"In post","2021","Hampshire and Isle of Wight","AA/AO","4665","3995","22100","20920"
"In post","2021","Hampshire and Isle of Wight","EO","3745","3505","26990","26700"
"In post","2021","Hampshire and Isle of Wight","G6/G7","1860","1790","55930","54540"
"In post","2021","Hampshire and Isle of Wight","SCS level","90","85","87410","83070"
"In post","2021","Hampshire and Isle of Wight","SEO/HEO","4640","4465","35660","34510"
"In post","2021","Hampshire and Isle of Wight","Unknown","355","325","32850","31420"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","AA/AO","1825","1695","23150","21050"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","EO","1090","1020","27130","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","G6/G7","100","95","58610","54900"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","SCS level","15","10","87860","77480"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","660","630","36620","35470"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","300","275","29210","28200"
"In post","2021","Highlands and Islands","AA/AO","840","775","22340","21130"
"In post","2021","Highlands and Islands","EO","685","640","28850","27570"
"In post","2021","Highlands and Islands","G6/G7","50","50","62730","61010"
"In post","2021","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","SEO/HEO","365","350","38080","36810"
"In post","2021","Highlands and Islands","Unknown","10","10","[c]","[c]"
"In post","2021","Inner London - East","AA/AO","2715","2510","25920","25110"
"In post","2021","Inner London - East","EO","4475","4245","30800","31060"
"In post","2021","Inner London - East","G6/G7","3760","3615","61740","59160"
"In post","2021","Inner London - East","SCS level","670","625","98940","94530"
"In post","2021","Inner London - East","SEO/HEO","4880","4715","39560","39800"
"In post","2021","Inner London - East","Unknown","695","675","33380","32090"
"In post","2021","Inner London - West","AA/AO","4495","4270","25560","24490"
"In post","2021","Inner London - West","EO","7875","7650","29290","29180"
"In post","2021","Inner London - West","G6/G7","21700","20990","60110","58030"
"In post","2021","Inner London - West","SCS level","3890","3775","89230","79670"
"In post","2021","Inner London - West","SEO/HEO","22955","22570","37890","37280"
"In post","2021","Inner London - West","Unknown","230","225","37660","35310"
"In post","2021","Kent","AA/AO","2985","2800","25050","24180"
"In post","2021","Kent","EO","3585","3300","28340","27370"
"In post","2021","Kent","G6/G7","285","270","55730","52580"
"In post","2021","Kent","SCS level","10","10","101830","99710"
"In post","2021","Kent","SEO/HEO","1375","1320","36840","35630"
"In post","2021","Kent","Unknown","285","265","30180","30880"
"In post","2021","Lancashire","AA/AO","6095","5420","21870","21010"
"In post","2021","Lancashire","EO","4380","3965","27480","27570"
"In post","2021","Lancashire","G6/G7","770","735","56590","53330"
"In post","2021","Lancashire","SCS level","45","45","82080","75500"
"In post","2021","Lancashire","SEO/HEO","2385","2255","35520","34290"
"In post","2021","Lancashire","Unknown","430","395","29630","30210"
"In post","2021","Leicestershire, Rutland and Northamptonshire","AA/AO","2915","2610","21930","21010"
"In post","2021","Leicestershire, Rutland and Northamptonshire","EO","1825","1685","27320","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","G6/G7","200","185","58410","55610"
"In post","2021","Leicestershire, Rutland and Northamptonshire","SCS level","10","10","[c]","[c]"
"In post","2021","Leicestershire, Rutland and Northamptonshire","SEO/HEO","950","895","36630","35000"
"In post","2021","Leicestershire, Rutland and Northamptonshire","Unknown","355","330","29420","30210"
"In post","2021","Lincolnshire","AA/AO","1295","1210","22240","21010"
"In post","2021","Lincolnshire","EO","750","700","27810","27570"
"In post","2021","Lincolnshire","G6/G7","80","75","59080","55270"
"In post","2021","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Lincolnshire","SEO/HEO","570","550","36560","35050"
"In post","2021","Lincolnshire","Unknown","135","130","30830","30210"
"In post","2021","Merseyside","AA/AO","7170","6280","21110","21020"
"In post","2021","Merseyside","EO","6190","5640","26260","26160"
"In post","2021","Merseyside","G6/G7","1420","1370","55710","52600"
"In post","2021","Merseyside","SCS level","85","85","90770","84660"
"In post","2021","Merseyside","SEO/HEO","4205","4010","34660","32740"
"In post","2021","Merseyside","Unknown","410","375","29440","28200"
"In post","2021","North Eastern Scotland","AA/AO","545","505","25300","22230"
"In post","2021","North Eastern Scotland","EO","595","560","29290","27570"
"In post","2021","North Eastern Scotland","G6/G7","130","125","66530","61010"
"In post","2021","North Eastern Scotland","SCS level","5","5","[c]","[c]"
"In post","2021","North Eastern Scotland","SEO/HEO","590","560","46020","39100"
"In post","2021","North Yorkshire","AA/AO","1385","1295","22450","20920"
"In post","2021","North Yorkshire","EO","1040","980","27370","26750"
"In post","2021","North Yorkshire","G6/G7","690","650","58530","55610"
"In post","2021","North Yorkshire","SCS level","30","30","92710","92240"
"In post","2021","North Yorkshire","SEO/HEO","1390","1345","35830","35480"
"In post","2021","North Yorkshire","Unknown","190","170","29490","28200"
