"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Female","60","55","40650","35870"
"In post","2021","Asian","Commercial","London","Male","45","45","43070","41000"
"In post","2021","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Female","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Male","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
