"Status","Year","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","935","865","44430","43800"
"In post","2021","Declared disabled","Cabinet Office","710","685","43990","38420"
"In post","2021","Declared disabled","Chancellor's other departments","25","25","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","25","25","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","40","40","56920","55480"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","1030","985","39930","35740"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","115","115","47040","39280"
"In post","2021","Declared disabled","Department for Education","715","685","41580","37100"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","1155","1090","34260","30400"
"In post","2021","Declared disabled","Department for International Trade","200","200","45110","39200"
"In post","2021","Declared disabled","Department for Transport","1390","1225","29370","26780"
"In post","2021","Declared disabled","Department for Work and Pensions","15545","13655","27300","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","525","490","41070","36330"
"In post","2021","Declared disabled","ESTYN","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","70","70","34990","30810"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","800","780","43620","38600"
"In post","2021","Declared disabled","HM Land Registry","485","420","30520","27130"
"In post","2021","Declared disabled","HM Revenue and Customs","5735","5135","31030","27810"
"In post","2021","Declared disabled","HM Treasury","245","240","46050","42900"
"In post","2021","Declared disabled","Home Office","3065","2815","31320","27370"
"In post","2021","Declared disabled","Ministry of Defence","5275","5070","33320","31700"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","335","330","41470","37310"
"In post","2021","Declared disabled","Ministry of Justice","8960","8345","29350","26810"
"In post","2021","Declared disabled","National Crime Agency","200","195","38020","36410"
"In post","2021","Declared disabled","Northern Ireland Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","135","130","45350","42850"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","50","50","39210","31720"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","25","25","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","20","15","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","65","65","42190","37140"
"In post","2021","Declared disabled","Scotland Office","5","5","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","1735","1640","36000","33650"
"In post","2021","Declared disabled","The National Archives","35","30","29360","27690"
"In post","2021","Declared disabled","UK Export Finance","15","15","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","530","465","31630","29540"
"In post","2021","Declared disabled","Wales Office","5","5","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","325","300","38660","37410"
"In post","2021","Declared non-disabled","Attorney General's Departments","6760","6275","45950","49580"
"In post","2021","Declared non-disabled","Cabinet Office","4495","4390","49000","41850"
"In post","2021","Declared non-disabled","Chancellor's other departments","330","320","59720","49010"
"In post","2021","Declared non-disabled","Charity Commission","215","205","35240","29160"
"In post","2021","Declared non-disabled","Competition and Markets Authority","710","690","59490","56360"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","8810","8455","42940","40050"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","1325","1300","49620","51730"
"In post","2021","Declared non-disabled","Department for Education","5580","5375","45030","40940"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","8235","7820","35610","31680"
"In post","2021","Declared non-disabled","Department for International Trade","1415","1395","46700","41160"
"In post","2021","Declared non-disabled","Department for Transport","11030","10220","33620","27680"
"In post","2021","Declared non-disabled","Department for Work and Pensions","70540","63190","28210","27570"
"In post","2021","Declared non-disabled","Department of Health and Social Care","5870","5430","43810","38870"
"In post","2021","Declared non-disabled","ESTYN","100","90","58270","74730"
"In post","2021","Declared non-disabled","Food Standards Agency","805","780","36740","31240"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","5905","5780","47520","42540"
"In post","2021","Declared non-disabled","HM Land Registry","3690","3265","33100","30600"
"In post","2021","Declared non-disabled","HM Revenue and Customs","37405","34470","32870","30510"
"In post","2021","Declared non-disabled","HM Treasury","1835","1780","48440","49870"
"In post","2021","Declared non-disabled","Home Office","28495","26415","32000","27370"
"In post","2021","Declared non-disabled","Ministry of Defence","38145","36885","34020","32150"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","2515","2410","45990","42900"
"In post","2021","Declared non-disabled","Ministry of Justice","53185","49830","29950","26810"
"In post","2021","Declared non-disabled","National Crime Agency","1755","1700","43290","40210"
"In post","2021","Declared non-disabled","Northern Ireland Office","80","80","45530","38980"
"In post","2021","Declared non-disabled","Office for Standards in Education","1475","1425","50470","51360"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","1020","1005","44860","38550"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","155","150","44400","38760"
"In post","2021","Declared non-disabled","Office of Rail and Road","290","280","54650","55430"
"In post","2021","Declared non-disabled","Other Cabinet Office Agencies","360","355","45090","38770"
"In post","2021","Declared non-disabled","Scotland Office","40","40","48310","46600"
"In post","2021","Declared non-disabled","Scottish Government","9830","9370","39210","34190"
"In post","2021","Declared non-disabled","The National Archives","340","325","35890","34260"
"In post","2021","Declared non-disabled","UK Export Finance","380","375","54030","49200"
"In post","2021","Declared non-disabled","UK Supreme Court","50","50","37580","32770"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","2600","2300","34340","30660"
"In post","2021","Declared non-disabled","Wales Office","30","30","49030","47590"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","170","160","57080","51120"
"In post","2021","Declared non-disabled","Welsh Government","4925","4655","41290","37410"
"In post","2021","Undeclared","Attorney General's Departments","140","130","54320","54090"
"In post","2021","Undeclared","Cabinet Office","285","280","44640","38890"
"In post","2021","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","415","400","45100","40220"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","75","75","46060","51440"
"In post","2021","Undeclared","Department for Education","370","360","44130","39760"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs","430","405","36850","33290"
"In post","2021","Undeclared","Department for International Trade","75","75","47320","51710"
"In post","2021","Undeclared","Department for Transport","1545","1465","35490","32180"
"In post","2021","Undeclared","Department for Work and Pensions","4200","3890","28120","27570"
"In post","2021","Undeclared","Department of Health and Social Care","555","485","47040","40320"
"In post","2021","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Food Standards Agency","430","425","38670","37350"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office","345","340","48560","43550"
"In post","2021","Undeclared","HM Land Registry","230","205","32430","31740"
"In post","2021","Undeclared","HM Revenue and Customs","3275","3010","33470","31810"
"In post","2021","Undeclared","HM Treasury","385","380","44400","38000"
"In post","2021","Undeclared","Home Office","1805","1675","32620","28930"
"In post","2021","Undeclared","Ministry of Defence","4190","4070","34360","33300"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government","165","160","45110","42980"
"In post","2021","Undeclared","Ministry of Justice","9090","8370","30850","31650"
"In post","2021","Undeclared","National Crime Agency","10","10","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","10","10","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","20","20","[c]","[c]"
"In post","2021","Undeclared","Other Cabinet Office Agencies","35","35","40750","39230"
"In post","2021","Undeclared","Scotland Office","10","10","[c]","[c]"
"In post","2021","Undeclared","Scottish Government","315","295","39090","34150"
"In post","2021","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","United Kingdom Statistics Authority","125","105","29030","25550"
"In post","2021","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Government","180","170","42290","37410"
"In post","2021","Unknown","Attorney General's Departments","2005","1900","41800","39750"
"In post","2021","Unknown","Cabinet Office","3965","3925","44660","32240"
"In post","2021","Unknown","Chancellor's other departments","45","45","55140","50650"
"In post","2021","Unknown","Charity Commission","195","185","34510","29400"
"In post","2021","Unknown","Competition and Markets Authority","80","75","72500","74650"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","2905","2785","35640","33570"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","265","260","48520","51610"
"In post","2021","Unknown","Department for Education","1265","1240","39560","36500"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","1225","1155","40080","36520"
"In post","2021","Unknown","Department for International Trade","1000","990","44640","38540"
"In post","2021","Unknown","Department for Transport","2010","1910","29460","26520"
"In post","2021","Unknown","Department for Work and Pensions","3240","3095","28880","27570"
