"Status","Year","Disability","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","Female","5385","5035","39410","33620"
"In post","2021","Declared disabled","London","Male","3815","3710","42100","36300"
"In post","2021","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","Female","24500","21530","28690","27570"
"In post","2021","Declared disabled","Outside London","Male","16435","15565","30560","27570"
"In post","2021","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Female","85","85","47880","51500"
"In post","2021","Declared disabled","Overseas","Male","140","140","48330","42800"
"In post","2021","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","120","110","30860","27570"
"In post","2021","Declared disabled","Unknown","Male","75","70","32220","27570"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Female","36600","34410","42290","36160"
"In post","2021","Declared non-disabled","London","Male","30680","30095","45510","39960"
"In post","2021","Declared non-disabled","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Outside London","Female","139580","124280","29960","27570"
"In post","2021","Declared non-disabled","Outside London","Male","110445","106755","32860","28220"
"In post","2021","Declared non-disabled","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Female","975","970","48630","47000"
"In post","2021","Declared non-disabled","Overseas","Male","1595","1590","49920","48120"
"In post","2021","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","580","530","32300","27570"
"In post","2021","Declared non-disabled","Unknown","Male","435","420","33850","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","London","Female","2940","2775","40470","35260"
"In post","2021","Undeclared","London","Male","3150","3075","43790","37640"
"In post","2021","Undeclared","Outside London","Female","10095","9055","29580","27570"
"In post","2021","Undeclared","Outside London","Male","12335","11760","32400","31650"
"In post","2021","Undeclared","Overseas","Female","45","45","48840","52400"
"In post","2021","Undeclared","Overseas","Male","120","120","46480","41160"
"In post","2021","Undeclared","Unknown","Female","25","20","[c]","[c]"
"In post","2021","Undeclared","Unknown","Male","30","30","31120","27570"
"In post","2021","Unknown","London","Female","10330","9970","42400","36160"
"In post","2021","Unknown","London","Male","9000","8900","45110","39580"
"In post","2021","Unknown","London","Unknown","15","15","[c]","[c]"
"In post","2021","Unknown","Outside London","Female","30540","27920","29600","25560"
"In post","2021","Unknown","Outside London","Male","31505","30550","31640","27570"
"In post","2021","Unknown","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Unknown","Overseas","Female","395","390","50680","46620"
"In post","2021","Unknown","Overseas","Male","405","405","54610","53470"
"In post","2021","Unknown","Unknown","Female","475","470","34480","32000"
"In post","2021","Unknown","Unknown","Male","1990","1990","37870","33570"
"Leaver CS","2021","Declared disabled","London","Female","230","[c]","38050","31880"
"Leaver CS","2021","Declared disabled","London","Male","210","[c]","39810","32330"
"Leaver CS","2021","Declared disabled","London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Outside London","Female","1425","[c]","26700","24630"
"Leaver CS","2021","Declared disabled","Outside London","Male","1075","[c]","29190","26720"
"Leaver CS","2021","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","London","Female","1535","[c]","40380","32540"
"Leaver CS","2021","Declared non-disabled","London","Male","1410","[c]","45670","37640"
"Leaver CS","2021","Declared non-disabled","London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Outside London","Female","6730","[c]","28180","24310"
"Leaver CS","2021","Declared non-disabled","Outside London","Male","5730","[c]","32320","27570"
"Leaver CS","2021","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Overseas","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Overseas","Male","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Female","150","[c]","39440","34390"
"Leaver CS","2021","Undeclared","London","Male","150","[c]","43410","38830"
"Leaver CS","2021","Undeclared","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Outside London","Female","650","[c]","28740","25490"
"Leaver CS","2021","Undeclared","Outside London","Male","775","[c]","32530","29670"
"Leaver CS","2021","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","Female","800","[c]","36940","31060"
