"Status","Year","Disability","Ethnicity","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","London","Heterosexual / straight","1070","995","36150","31880"
"In post","2021","Declared disabled","Asian","London","LGBO","45","45","38650","33570"
"In post","2021","Declared disabled","Asian","London","Undeclared","85","80","32360","30810"
"In post","2021","Declared disabled","Asian","London","Unknown","80","70","33140","31060"
"In post","2021","Declared disabled","Asian","Outside London","Heterosexual / straight","1195","1095","28300","27570"
"In post","2021","Declared disabled","Asian","Outside London","LGBO","50","45","26990","27350"
"In post","2021","Declared disabled","Asian","Outside London","Undeclared","90","80","25380","24540"
"In post","2021","Declared disabled","Asian","Outside London","Unknown","115","100","25300","24130"
"In post","2021","Declared disabled","Asian","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","London","Heterosexual / straight","1005","960","33460","31060"
"In post","2021","Declared disabled","Black","London","LGBO","50","45","37780","31060"
"In post","2021","Declared disabled","Black","London","Undeclared","75","70","33160","31060"
"In post","2021","Declared disabled","Black","London","Unknown","80","70","31150","31060"
"In post","2021","Declared disabled","Black","Outside London","Heterosexual / straight","485","450","29380","27570"
"In post","2021","Declared disabled","Black","Outside London","LGBO","35","35","29890","27570"
"In post","2021","Declared disabled","Black","Outside London","Undeclared","40","40","27180","27570"
"In post","2021","Declared disabled","Black","Outside London","Unknown","30","30","28650","27570"
"In post","2021","Declared disabled","Black","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
