"Status","Year","Disability","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Female","Heterosexual / straight","6695","5620","21480","21010"
"In post","2021","Declared disabled","AA/AO","Female","LGBO","545","510","22310","21010"
"In post","2021","Declared disabled","AA/AO","Female","Undeclared","1100","895","21510","21010"
"In post","2021","Declared disabled","AA/AO","Female","Unknown","895","705","21570","21010"
"In post","2021","Declared disabled","AA/AO","Male","Heterosexual / straight","4490","4205","22660","21010"
"In post","2021","Declared disabled","AA/AO","Male","LGBO","530","505","22440","21010"
"In post","2021","Declared disabled","AA/AO","Male","Undeclared","680","630","22470","21010"
"In post","2021","Declared disabled","AA/AO","Male","Unknown","610","560","22690","21050"
"In post","2021","Declared disabled","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Female","Heterosexual / straight","7375","6520","27590","27570"
"In post","2021","Declared disabled","EO","Female","LGBO","615","575","27460","27570"
"In post","2021","Declared disabled","EO","Female","Undeclared","975","845","27750","27570"
"In post","2021","Declared disabled","EO","Female","Unknown","825","700","28040","27570"
"In post","2021","Declared disabled","EO","Male","Heterosexual / straight","4145","3940","27970","27570"
"In post","2021","Declared disabled","EO","Male","LGBO","565","545","27820","27570"
"In post","2021","Declared disabled","EO","Male","Undeclared","680","630","28050","27570"
"In post","2021","Declared disabled","EO","Male","Unknown","505","465","29250","27570"
"In post","2021","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Female","Heterosexual / straight","1895","1795","57840","55610"
"In post","2021","Declared disabled","G6/G7","Female","LGBO","185","180","57850","55610"
"In post","2021","Declared disabled","G6/G7","Female","Undeclared","230","215","59380","57460"
"In post","2021","Declared disabled","G6/G7","Female","Unknown","160","145","57870","56040"
"In post","2021","Declared disabled","G6/G7","Male","Heterosexual / straight","1520","1480","58720","57000"
"In post","2021","Declared disabled","G6/G7","Male","LGBO","285","280","58710","56350"
"In post","2021","Declared disabled","G6/G7","Male","Undeclared","235","230","59010","57440"
"In post","2021","Declared disabled","G6/G7","Male","Unknown","125","120","58880","59140"
"In post","2021","Declared disabled","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Female","Heterosexual / straight","160","155","87580","81440"
"In post","2021","Declared disabled","SCS level","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Male","Heterosexual / straight","170","165","91870","82430"
"In post","2021","Declared disabled","SCS level","Male","LGBO","30","30","88970","80140"
"In post","2021","Declared disabled","SCS level","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Female","Heterosexual / straight","5040","4730","36210","35070"
"In post","2021","Declared disabled","SEO/HEO","Female","LGBO","545","525","35410","33930"
"In post","2021","Declared disabled","SEO/HEO","Female","Undeclared","580","545","36470","35560"
"In post","2021","Declared disabled","SEO/HEO","Female","Unknown","365","335","35980","35110"
"In post","2021","Declared disabled","SEO/HEO","Male","Heterosexual / straight","3825","3700","37260","36460"
"In post","2021","Declared disabled","SEO/HEO","Male","LGBO","510","500","35720","34770"
"In post","2021","Declared disabled","SEO/HEO","Male","Undeclared","585","560","37630","36760"
"In post","2021","Declared disabled","SEO/HEO","Male","Unknown","360","340","37300","36240"
"In post","2021","Declared disabled","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","Heterosexual / straight","1560","1435","30500","30210"
"In post","2021","Declared disabled","Unknown","Female","LGBO","140","135","28860","27730"
"In post","2021","Declared disabled","Unknown","Female","Undeclared","155","145","32010","31420"
"In post","2021","Declared disabled","Unknown","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Male","Heterosexual / straight","460","445","33660","32710"
"In post","2021","Declared disabled","Unknown","Male","LGBO","50","50","31210","28200"
"In post","2021","Declared disabled","Unknown","Male","Undeclared","80","75","37360","37170"
"In post","2021","Declared disabled","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Female","Heterosexual / straight","37595","32480","21710","21010"
"In post","2021","Declared non-disabled","AA/AO","Female","LGBO","1830","1740","23290","21430"
"In post","2021","Declared non-disabled","AA/AO","Female","Undeclared","4265","3545","21600","21010"
"In post","2021","Declared non-disabled","AA/AO","Female","Unknown","7900","6145","21580","21010"
"In post","2021","Declared non-disabled","AA/AO","Male","Heterosexual / straight","28635","27655","23420","21430"
"In post","2021","Declared non-disabled","AA/AO","Male","LGBO","1425","1380","22210","21010"
"In post","2021","Declared non-disabled","AA/AO","Male","Undeclared","2395","2270","23210","21300"
"In post","2021","Declared non-disabled","AA/AO","Male","Unknown","4490","4185","23360","21050"
"In post","2021","Declared non-disabled","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Female","Heterosexual / straight","38225","34525","27380","27570"
