"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","Female","645","545","24990","21530"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","Male","365","355","29020","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","Female","285","240","26270","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","Male","110","105","28250","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","Female","520","480","28780","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","Male","470","455","29060","27380"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","Female","4425","4020","31160","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","Male","3530","3410","32550","28130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","Female","665","590","31280","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","Male","490","465","35010","31650"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","Female","380","350","29780","27380"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","Male","400","380","31190","28220"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","Female","1555","1350","26630","24470"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","Male","1060","1005","27190","26440"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Female","1050","950","27880","25550"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Male","975","945","30410","27380"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Female","360","305","25110","26780"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Male","150","145","26800","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Female","680","605","25800","23530"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Male","420","405","27550","25400"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","Female","1445","1325","26730","25600"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","Male","1385","1340","29580","27570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","Female","465","420","28930","27570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","Male","370","365","31830","30060"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","Female","185","175","28630","26670"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","Male","245","240","31440","29750"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","Female","1595","1465","33730","30110"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","Male","1120","1100","36280","31880"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","Female","335","300","25600","25260"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","Male","220","195","27310","27370"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","Female","220","205","27910","26300"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","Male","305","295","29020","26810"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","Female","1620","1500","32990","29180"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","Male","1760","1700","34900","31650"
"In post","2021","East of England","East Anglia","North and West Norfolk","Female","410","365","26210","25790"
"In post","2021","East of England","East Anglia","North and West Norfolk","Male","520","500","29450","27570"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","Female","950","820","28480","27570"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","Male","840","805","30800","27570"
"In post","2021","East of England","East Anglia","Peterborough","Female","1025","895","27450","25040"
"In post","2021","East of England","East Anglia","Peterborough","Male","640","605","29350","27130"
"In post","2021","East of England","East Anglia","Suffolk","Female","2145","1935","27440","26670"
"In post","2021","East of England","East Anglia","Suffolk","Male","2025","1970","30040","27830"
"In post","2021","East of England","Essex","Essex Haven Gateway","Female","575","525","29460","29290"
"In post","2021","East of England","Essex","Essex Haven Gateway","Male","560","545","35250","29670"
"In post","2021","East of England","Essex","Essex Thames Gateway","Female","685","595","27500","28200"
"In post","2021","East of England","Essex","Essex Thames Gateway","Male","250","235","28100","29290"
"In post","2021","East of England","Essex","Heart of Essex","Female","640","585","31120","29290"
"In post","2021","East of England","Essex","Heart of Essex","Male","475","465","33150","30680"
"In post","2021","East of England","Essex","Southend-on-Sea","Female","800","700","30560","29290"
"In post","2021","East of England","Essex","Southend-on-Sea","Male","545","515","34350","31810"
"In post","2021","East of England","Essex","Thurrock","Female","165","150","26650","26830"
"In post","2021","East of England","Essex","Thurrock","Male","200","195","26160","25310"
"In post","2021","East of England","Essex","West Essex","Female","360","320","30530","29290"
"In post","2021","East of England","Essex","West Essex","Male","340","305","30260","27370"
"In post","2021","London","Inner London - East","Hackney and Newham","Female","1825","1650","33280","31060"
"In post","2021","London","Inner London - East","Hackney and Newham","Male","1225","1175","36550","31880"
"In post","2021","London","Inner London - East","Haringey and Islington","Female","840","785","30160","31060"
"In post","2021","London","Inner London - East","Haringey and Islington","Male","665","655","32310","31540"
"In post","2021","London","Inner London - East","Lambeth","Female","2595","2410","42350","37460"
"In post","2021","London","Inner London - East","Lambeth","Male","1790","1735","45540","40170"
"In post","2021","London","Inner London - East","Lewisham and Southwark","Female","805","770","34040","31060"
"In post","2021","London","Inner London - East","Lewisham and Southwark","Male","585","560","33550","31060"
"In post","2021","London","Inner London - East","Tower Hamlets","Female","3580","3410","46080","40600"
"In post","2021","London","Inner London - East","Tower Hamlets","Male","3295","3240","50850","47980"
"In post","2021","London","Inner London - West","Camden and City of London","Female","1780","1665","35800","30920"
"In post","2021","London","Inner London - West","Camden and City of London","Male","1860","1820","40630","36160"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Female","430","410","31850","31060"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Male","420","405","33470","32680"
"In post","2021","London","Inner London - West","Wandsworth","Female","480","450","30480","30220"
"In post","2021","London","Inner London - West","Wandsworth","Male","475","465","33660","33260"
"In post","2021","London","Inner London - West","Westminster","Female","29620","28450","46860","41970"
"In post","2021","London","Inner London - West","Westminster","Male","26055","25795","49460","45200"
"In post","2021","London","Inner London - West","Westminster","Unknown","25","25","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","Female","390","345","30120","31060"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","Male","210","205","31100","31060"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","Female","920","865","30500","31060"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","Male","845","820","33250","33180"
"In post","2021","London","Outer London - East and North East","Enfield","Female","240","220","30180","31060"
"In post","2021","London","Outer London - East and North East","Enfield","Male","120","115","30030","31060"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","Female","720","635","28820","30330"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","Male","345","335","29360","31060"
"In post","2021","London","Outer London - South","Bromley","Female","330","295","29460","31060"
"In post","2021","London","Outer London - South","Bromley","Male","130","125","29250","31060"
"In post","2021","London","Outer London - South","Croydon","Female","5350","4950","36810","32090"
"In post","2021","London","Outer London - South","Croydon","Male","4275","4185","40290","36160"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","Female","405","375","30020","31060"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","Male","255","250","32870","31060"
"In post","2021","London","Outer London - West and North West","Barnet","Female","1065","980","38310","32330"
"In post","2021","London","Outer London - West and North West","Barnet","Male","615","600","42610","38520"
"In post","2021","London","Outer London - West and North West","Brent","Female","400","360","30470","31050"
"In post","2021","London","Outer London - West and North West","Brent","Male","205","200","33300","31060"
"In post","2021","London","Outer London - West and North West","Ealing","Female","340","315","31640","31060"
"In post","2021","London","Outer London - West and North West","Ealing","Male","180","170","30700","31060"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","Female","1670","1495","30880","29170"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","Male","1735","1590","31460","29410"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","Female","1485","1375","31680","30250"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","Male","1375","1330","33640","31870"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","Female","255","220","27710","27570"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","Male","140","135","29420","27570"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","Female","3085","2500","24490","21440"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","Male","1345","1255","26430","25560"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","Female","9330","8085","28140","25560"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","Male","7210","6935","30490","26470"
"In post","2021","North East (England)","Tees Valley and Durham","Darlington","Female","600","550","34360","30200"
"In post","2021","North East (England)","Tees Valley and Durham","Darlington","Male","380","375","37750","36500"
"In post","2021","North East (England)","Tees Valley and Durham","Durham CC","Female","3155","2750","26070","23240"
"In post","2021","North East (England)","Tees Valley and Durham","Durham CC","Male","2440","2275","28250","26780"
"In post","2021","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Female","870","760","26530","27470"
"In post","2021","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Male","680","650","28150","27570"
"In post","2021","North East (England)","Tees Valley and Durham","South Teesside","Female","750","650","26620","26060"
"In post","2021","North East (England)","Tees Valley and Durham","South Teesside","Male","375","360","25980","24890"
"In post","2021","North West (England)","Cheshire","Cheshire East","Female","470","430","29740","27570"
"In post","2021","North West (England)","Cheshire","Cheshire East","Male","285","275","30540","27570"
"In post","2021","North West (England)","Cheshire","Cheshire West and Chester","Female","285","260","26370","27570"
"In post","2021","North West (England)","Cheshire","Cheshire West and Chester","Male","170","165","25600","23840"
"In post","2021","North West (England)","Cheshire","Warrington","Female","1430","1325","30800","28840"
"In post","2021","North West (England)","Cheshire","Warrington","Male","1260","1230","34480","32770"
"In post","2021","North West (England)","Cumbria","East Cumbria","Female","540","470","27230","25010"
"In post","2021","North West (England)","Cumbria","East Cumbria","Male","395","385","28160","24920"
"In post","2021","North West (England)","Cumbria","West Cumbria","Female","700","605","26070","24440"
"In post","2021","North West (England)","Cumbria","West Cumbria","Male","500","490","31350","27570"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester North East","Female","740","675","27400","27570"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester North East","Male","465","450","27940","27570"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester North West","Female","1335","1160","24820","22850"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester North West","Male","650","620","26330","26780"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester South East","Female","870","775","25440","21920"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester South East","Male","520","505","25950","24300"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester South West","Female","3095","2830","29920","25570"
"In post","2021","North West (England)","Greater Manchester","Greater Manchester South West","Male","3050","2965","31070","27570"
"In post","2021","North West (England)","Greater Manchester","Manchester","Female","4715","4375","33180","28430"
"In post","2021","North West (England)","Greater Manchester","Manchester","Male","4275","4150","34440","30990"
"In post","2021","North West (England)","Lancashire","Blackburn with Darwen","Female","295","250","26530","27570"
"In post","2021","North West (England)","Lancashire","Blackburn with Darwen","Male","200","190","27180","27570"
"In post","2021","North West (England)","Lancashire","Blackpool","Female","3215","2840","28370","27570"
"In post","2021","North West (England)","Lancashire","Blackpool","Male","1925","1860","30190","27570"
"In post","2021","North West (England)","Lancashire","Chorley and West Lancashire","Female","630","580","28710","27380"
"In post","2021","North West (England)","Lancashire","Chorley and West Lancashire","Male","700","650","30590","28830"
"In post","2021","North West (England)","Lancashire","East Lancashire","Female","320","275","25540","27570"
"In post","2021","North West (England)","Lancashire","East Lancashire","Male","165","155","26320","27570"
"In post","2021","North West (England)","Lancashire","Lancaster and Wyre","Female","605","545","27720","26670"
"In post","2021","North West (England)","Lancashire","Lancaster and Wyre","Male","455","435","29660","26930"
"In post","2021","North West (England)","Lancashire","Mid Lancashire","Female","3205","2770","27110","23840"
"In post","2021","North West (England)","Lancashire","Mid Lancashire","Male","2395","2265","27920","25560"
"In post","2021","North West (England)","Merseyside","East Merseyside","Female","730","625","26930","27570"
"In post","2021","North West (England)","Merseyside","East Merseyside","Male","310","300","29280","27570"
"In post","2021","North West (England)","Merseyside","Liverpool","Female","5965","5335","28360","25040"
"In post","2021","North West (England)","Merseyside","Liverpool","Male","4270","4115","30120","25560"
"In post","2021","North West (England)","Merseyside","Sefton","Female","3515","3065","27950","25560"
"In post","2021","North West (England)","Merseyside","Sefton","Male","2540","2445","30500","26920"
"In post","2021","North West (England)","Merseyside","Wirral","Female","1465","1230","25940","25860"
"In post","2021","North West (England)","Merseyside","Wirral","Male","680","640","26870","27130"
"In post","2021","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","Female","60","55","26650","21670"
"In post","2021","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","Male","140","140","23700","20310"
"In post","2021","Northern Ireland","Northern Ireland","Ards and North Down","Female","55","50","28760","22330"
"In post","2021","Northern Ireland","Northern Ireland","Ards and North Down","Male","170","170","24940","20310"
"In post","2021","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Belfast","Female","1435","1290","28780","25560"
"In post","2021","Northern Ireland","Northern Ireland","Belfast","Male","1380","1335","29010","25560"
"In post","2021","Northern Ireland","Northern Ireland","Causeway Coast and Glens","Female","5","5","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Causeway Coast and Glens","Male","60","60","20740","20310"
"In post","2021","Northern Ireland","Northern Ireland","Derry City and Strabane","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Derry City and Strabane","Male","10","10","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Fermanagh and Omagh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Fermanagh and Omagh","Male","15","15","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","Female","185","170","26820","22580"
"In post","2021","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","Male","220","215","28150","24970"
"In post","2021","Northern Ireland","Northern Ireland","Mid and East Antrim","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Mid and East Antrim","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Newry, Mourne and Down","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Northern Ireland","Newry, Mourne and Down","Male","60","60","21140","20310"
"In post","2021","Overseas","Overseas","Overseas","Female","1500","1490","49160","46620"
"In post","2021","Overseas","Overseas","Overseas","Male","2255","2250","50540","50430"
"In post","2021","Scotland","Eastern Scotland","Angus and Dundee City","Female","1160","1035","26520","22230"
"In post","2021","Scotland","Eastern Scotland","Angus and Dundee City","Male","740","715","25790","21150"
"In post","2021","Scotland","Eastern Scotland","City of Edinburgh","Female","6750","6305","37110","31810"
"In post","2021","Scotland","Eastern Scotland","City of Edinburgh","Male","6050","5895","37710","33620"
"In post","2021","Scotland","Eastern Scotland","Clackmannanshire and Fife","Female","680","610","27840","27570"
"In post","2021","Scotland","Eastern Scotland","Clackmannanshire and Fife","Male","670","640","32110","33300"
"In post","2021","Scotland","Eastern Scotland","East Lothian and Midlothian","Female","65","60","27240","27570"
"In post","2021","Scotland","Eastern Scotland","East Lothian and Midlothian","Male","45","45","28950","27570"
"In post","2021","Scotland","Eastern Scotland","Falkirk","Female","1150","980","26250","22820"
"In post","2021","Scotland","Eastern Scotland","Falkirk","Male","665","620","29880","27570"
"In post","2021","Scotland","Eastern Scotland","Perth and Kinross and Stirling","Female","605","555","29630","27570"
"In post","2021","Scotland","Eastern Scotland","Perth and Kinross and Stirling","Male","745","710","32050","31040"
"In post","2021","Scotland","Eastern Scotland","West Lothian","Female","305","280","32890","27570"
"In post","2021","Scotland","Eastern Scotland","West Lothian","Male","205","195","32460","27570"
"In post","2021","Scotland","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","Female","110","100","27650","27570"
"In post","2021","Scotland","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","Male","105","100","31100","29190"
"In post","2021","Scotland","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Female","600","550","28410","27570"
"In post","2021","Scotland","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Male","535","520","29850","27570"
"In post","2021","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Female","150","135","27810","27570"
"In post","2021","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Male","180","170","28970","27150"
"In post","2021","Scotland","Highlands and Islands","Na h-Eileanan Siar","Female","100","85","24500","21010"
"In post","2021","Scotland","Highlands and Islands","Na h-Eileanan Siar","Male","75","70","27570","27570"
"In post","2021","Scotland","Highlands and Islands","Orkney Islands","Female","20","20","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Orkney Islands","Male","20","15","[c]","[c]"
"In post","2021","Scotland","Highlands and Islands","Shetland Islands","Female","30","30","27450","26590"
"In post","2021","Scotland","Highlands and Islands","Shetland Islands","Male","30","30","[c]","[c]"
"In post","2021","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","Female","925","845","32400","27570"
"In post","2021","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","Male","940","910","39900","33650"
"In post","2021","Scotland","Southern Scotland","Dumfries and Galloway","Female","250","220","27880","26530"
"In post","2021","Scotland","Southern Scotland","Dumfries and Galloway","Male","315","300","30440","28870"
