"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","90","75","20650","20500"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","455","430","26230","22920"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","595","560","29290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","40","35","73810","73940"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","90","90","63520","61010"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","290","280","35730","34150"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","295","280","56170","46600"
"In post","2021","Angus and Dundee City","AA/AO","AA","155","145","21040","21150"
"In post","2021","Angus and Dundee City","AA/AO","AO","950","870","21130","21010"
"In post","2021","Angus and Dundee City","EO","EO","490","445","27430","27570"
"In post","2021","Angus and Dundee City","G6/G7","G6","25","25","70710","72160"
"In post","2021","Angus and Dundee City","G6/G7","G7","45","45","56460","54350"
"In post","2021","Angus and Dundee City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","HEO","135","125","32620","32140"
"In post","2021","Angus and Dundee City","SEO/HEO","SEO","95","95","42790","40970"
"In post","2021","Antrim and Newtownabbey","AA/AO","AA","115","110","19850","20310"
"In post","2021","Antrim and Newtownabbey","AA/AO","AO","40","40","23090","22330"
"In post","2021","Antrim and Newtownabbey","EO","EO","20","20","28840","27680"
"In post","2021","Antrim and Newtownabbey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","HEO","20","20","35750","36040"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","AA","105","105","20040","20310"
"In post","2021","Ards and North Down","AA/AO","AO","65","60","23250","21880"
"In post","2021","Ards and North Down","EO","EO","25","25","30180","31370"
"In post","2021","Ards and North Down","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","HEO","15","15","36830","36200"
"In post","2021","Ards and North Down","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","AO","105","95","23500","23210"
"In post","2021","Barking & Dagenham and Havering","EO","EO","380","350","30980","31060"
"In post","2021","Barking & Dagenham and Havering","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","HEO","40","35","36740","36650"
