"Status","Year","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","55","55","40630","38530"
"In post","2021","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","20","20","47910","51970"
"In post","2021","Analysis","Birmingham","40","40","42650","39100"
"In post","2021","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","150","145","39320","34950"
"In post","2021","Analysis","Buckinghamshire CC","10","10","35540","33180"
"In post","2021","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","230","215","67630","60780"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","10","10","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","350","335","40800","37700"
"In post","2021","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","45","45","46330","41060"
"In post","2021","Analysis","Cornwall and Isles of Scilly","10","5","[c]","[c]"
"In post","2021","Analysis","Coventry","10","10","40740","38410"
"In post","2021","Analysis","Croydon","35","35","49560","41760"
"In post","2021","Analysis","Darlington","30","30","43530","42580"
"In post","2021","Analysis","Devon CC","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","10","10","31460","30040"
"In post","2021","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","5","5","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2021","Analysis","Glasgow City","20","20","48600","37700"
"In post","2021","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","5","5","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","10","10","48180","41760"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","140","135","41610","41890"
"In post","2021","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","5","5","[c]","[c]"
"In post","2021","Analysis","Liverpool","75","70","39950","38630"
"In post","2021","Analysis","Manchester","220","215","38190","33600"
"In post","2021","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","1035","990","36370","36030"
"In post","2021","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","35","35","36020","33350"
"In post","2021","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","10","10","[c]","[c]"
"In post","2021","Analysis","Portsmouth","15","15","34150","31480"
"In post","2021","Analysis","Sefton","40","35","40240","38630"
"In post","2021","Analysis","Sheffield","125","115","44020","42580"
"In post","2021","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","5","5","[c]","[c]"
"In post","2021","Analysis","South Hampshire","450","425","37290","36030"
"In post","2021","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","25","25","43620","38630"
"In post","2021","Analysis","Staffordshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Suffolk","350","330","34350","30220"
"In post","2021","Analysis","Swansea","30","30","28880","26780"
"In post","2021","Analysis","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","680","655","50780","46850"
"In post","2021","Analysis","Tyneside","30","30","40800","40610"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","10","10","[c]","[c]"
"In post","2021","Analysis","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","5","5","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","5","5","[c]","[c]"
"In post","2021","Analysis","Westminster","2495","2430","46680","42980"
"In post","2021","Analysis","Wiltshire","115","110","37690","37320"
"In post","2021","Analysis","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","65","60","37880","31830"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","15","15","44730","40470"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","10","10","37890","31190"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","635","615","44040","40580"
"In post","2021","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","30","30","41410","38940"
"In post","2021","Commercial","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2021","Commercial","Birmingham","80","75","47790","40830"
"In post","2021","Commercial","Blackpool","35","35","55620","49700"
"In post","2021","Commercial","Bournemouth and Poole","5","5","[c]","[c]"
"In post","2021","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","80","75","41650","39830"
"In post","2021","Commercial","Buckinghamshire CC","70","70","39960","36800"
"In post","2021","Commercial","Cambridgeshire CC","125","120","37430","34800"
"In post","2021","Commercial","Camden and City of London","10","10","62010","39430"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","35","35","43250","40080"
"In post","2021","Commercial","Central Bedfordshire","10","10","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","210","205","37620","33630"
"In post","2021","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
