"Status","Year","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","880","860","47680","43320"
"In post","2021","Commercial","Outside London","4430","4265","38920","36780"
"In post","2021","Commercial","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Unknown","10","10","35360","37130"
"In post","2021","Communications","London","2090","2045","46250","42500"
"In post","2021","Communications","Outside London","1860","1775","36270","33640"
"In post","2021","Communications","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","75","75","55660","54110"
"In post","2021","Corporate Finance","Outside London","90","85","41070","37870"
"In post","2021","Counter Fraud","London","395","385","43330","40000"
"In post","2021","Counter Fraud","Outside London","495","465","33910","33720"
"In post","2021","Digital, Data and Technology","London","3300","3245","49510","45450"
"In post","2021","Digital, Data and Technology","Outside London","9970","9685","39220","36820"
"In post","2021","Digital, Data and Technology","Overseas","20","20","34620","33300"
"In post","2021","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","1770","1740","47870","43230"
"In post","2021","Economics","Outside London","355","345","42330","37410"
"In post","2021","Economics","Overseas","40","40","56400","55860"
"In post","2021","Finance","London","2555","2500","49160","44880"
"In post","2021","Finance","Outside London","6560","6170","36930","33300"
"In post","2021","Finance","Overseas","40","40","38300","33460"
"In post","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","2415","2340","46800","42200"
"In post","2021","Human Resources","Outside London","5410","5085","34980","31810"
"In post","2021","Human Resources","Overseas","25","25","38270","33300"
"In post","2021","Human Resources","Unknown","10","10","54130","58180"
"In post","2021","Inspector of Education and Training","London","230","225","66190","64500"
"In post","2021","Inspector of Education and Training","Outside London","630","610","66570","74730"
"In post","2021","Intelligence Analysis","London","1420","1360","40670","36620"
"In post","2021","Intelligence Analysis","Outside London","1905","1830","30690","27380"
"In post","2021","Intelligence Analysis","Overseas","70","70","43800","40560"
"In post","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","210","200","53870","51710"
"In post","2021","Internal Audit","Outside London","565","535","42930","40950"
"In post","2021","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","1075","1060","47360","42470"
"In post","2021","International Trade","Outside London","240","235","38650","31810"
"In post","2021","International Trade","Overseas","155","155","56610","54470"
"In post","2021","Knowledge and Information Management","London","745","715","41410","37560"
"In post","2021","Knowledge and Information Management","Outside London","1630","1555","34700","33000"
"In post","2021","Knowledge and Information Management","Overseas","5","5","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","London","4765","4495","54800","52760"
"In post","2021","Legal","Outside London","7365","6845","43700","42800"
"In post","2021","Legal","Overseas","15","15","64020","70740"
"In post","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
