"Status","Year","Age","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Science and Engineering","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Operational Delivery","15","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Tax","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Economics","[c]","[c]","[c]","[c]"
