"Status","Year","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","20","20","43500","39580"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","185","180","39050","37070"
"In post","2021","Commercial","Cheshire","25","20","40580","36970"
"In post","2021","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","15","15","38200","34030"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","75","70","43680","42490"
"In post","2021","Commercial","Devon","220","215","42790","39790"
"In post","2021","Commercial","Dorset and Somerset","70","65","42320","40430"
"In post","2021","Commercial","East Anglia","220","215","38250","35730"
"In post","2021","Commercial","East Wales","155","155","36670","33290"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","20","20","40870","37730"
"In post","2021","Commercial","Eastern Scotland","90","85","33600","28410"
"In post","2021","Commercial","Essex","5","5","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","1425","1365","38880","35900"
"In post","2021","Commercial","Greater Manchester","220","210","39840","37920"
"In post","2021","Commercial","Hampshire and Isle of Wight","220","210","36180","34800"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","20","20","42060","46780"
"In post","2021","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","75","75","45090","41190"
"In post","2021","Commercial","Inner London - West","575","560","50230","44480"
"In post","2021","Commercial","Kent","20","20","45340","46550"
"In post","2021","Commercial","Lancashire","30","30","46460","44760"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","40","40","41620","38150"
"In post","2021","Commercial","Lincolnshire","20","20","42650","39040"
"In post","2021","Commercial","Merseyside","230","220","36010","34800"
"In post","2021","Commercial","North Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","55","55","41100","38180"
"In post","2021","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","30","30","42090","40930"
"In post","2021","Commercial","Outer London - East and North East","10","10","50480","52150"
"In post","2021","Commercial","Outer London - South","150","145","43970","43420"
"In post","2021","Commercial","Outer London - West and North West","75","75","37840","32880"
"In post","2021","Commercial","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Shropshire and Staffordshire","100","95","39280","34800"
"In post","2021","Commercial","South Yorkshire","105","100","38610","36960"
"In post","2021","Commercial","Southern Scotland","70","65","40370","39630"
"In post","2021","Commercial","Surrey, East and West Sussex","40","40","44830","40890"
"In post","2021","Commercial","Tees Valley and Durham","85","80","43480","40300"
"In post","2021","Commercial","Unknown","10","10","35360","37130"
"In post","2021","Commercial","West Central Scotland","110","105","34650","33300"
"In post","2021","Commercial","West Midlands","130","130","38940","37040"
"In post","2021","Commercial","West Wales and The Valleys","175","160","33470","31040"
"In post","2021","Commercial","West Yorkshire","190","185","40810","36820"
"In post","2021","Communications","Bedfordshire and Hertfordshire","30","30","36340","33200"
"In post","2021","Communications","Berkshire, Buckinghamshire and Oxfordshire","85","80","32450","31200"
"In post","2021","Communications","Cheshire","10","10","40980","37560"
"In post","2021","Communications","Cornwall and Isles of Scilly","10","10","23260","21130"
"In post","2021","Communications","Cumbria","5","5","[c]","[c]"
"In post","2021","Communications","Derbyshire and Nottinghamshire","85","80","36960","36590"
"In post","2021","Communications","Devon","50","45","35460","33220"
"In post","2021","Communications","Dorset and Somerset","45","40","34250","33290"
"In post","2021","Communications","East Anglia","45","45","33420","31170"
"In post","2021","Communications","East Wales","255","240","38770","37180"
"In post","2021","Communications","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2021","Communications","Eastern Scotland","40","40","40310","36750"
"In post","2021","Communications","Essex","15","15","32420","32550"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","210","200","36470","34770"
"In post","2021","Communications","Greater Manchester","90","85","34140","31890"
"In post","2021","Communications","Hampshire and Isle of Wight","185","180","33120","31560"
"In post","2021","Communications","Herefordshire, Worcestershire and Warwickshire","20","20","37130","36750"
"In post","2021","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - East","220","210","47650","42290"
"In post","2021","Communications","Inner London - West","1805","1770","46330","42710"
"In post","2021","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","30","25","32350","33000"
"In post","2021","Communications","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2021","Communications","Lincolnshire","15","15","29900","29720"
"In post","2021","Communications","Merseyside","70","70","39790","36780"
"In post","2021","Communications","North Yorkshire","20","20","33330","35690"
"In post","2021","Communications","Northern Ireland","30","30","41190","38270"
"In post","2021","Communications","Northumberland and Tyne and Wear","85","80","34370","31810"
"In post","2021","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
