"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Female","35","35","26510","26410"
"In post","2021","Declared disabled","Analysis","EO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6/G7","Female","80","70","59150","58130"
"In post","2021","Declared disabled","Analysis","G6/G7","Male","80","75","58200","56260"
"In post","2021","Declared disabled","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO/HEO","Female","165","150","35460","36780"
"In post","2021","Declared disabled","Analysis","SEO/HEO","Male","160","155","36740","36410"
"In post","2021","Declared disabled","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Female","35","35","21970","21580"
"In post","2021","Declared disabled","Commercial","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Female","60","55","27160","26780"
"In post","2021","Declared disabled","Commercial","EO","Male","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Female","45","45","58790","56170"
"In post","2021","Declared disabled","Commercial","G6/G7","Male","40","35","62070","59640"
"In post","2021","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Female","175","165","38160","37210"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Male","120","115","39280","40480"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Female","40","30","21280","21440"
"In post","2021","Declared disabled","Communications","AA/AO","Male","35","35","21230","20920"
"In post","2021","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Female","100","90","26550","25560"
"In post","2021","Declared disabled","Communications","EO","Male","100","100","25280","25560"
"In post","2021","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Female","30","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","Female","120","115","35660","33300"
"In post","2021","Declared disabled","Communications","SEO/HEO","Male","105","100","35450","33840"
"In post","2021","Declared disabled","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","Female","70","55","21910","21440"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","Male","45","40","21450","21440"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","Female","165","145","27070","25560"
"In post","2021","Declared disabled","Counter Fraud","EO","Male","110","105","27220","26910"
"In post","2021","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","Female","35","35","56600","53150"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","Male","50","45","58640","57740"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","Female","180","165","35290","35000"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","Male","175","165","35260","34170"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","AA/AO","Female","175","140","21430","21440"
"In post","2021","Declared disabled","Debt","AA/AO","Male","105","100","20990","20140"
"In post","2021","Declared disabled","Debt","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","EO","Female","55","45","26890","25560"
"In post","2021","Declared disabled","Debt","EO","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO/HEO","Male","10","5","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","EO","Female","110","100","27590","26670"
"In post","2021","Declared disabled","Digital, Data & Technology","EO","Male","145","140","27370","26740"
"In post","2021","Declared disabled","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","G6/G7","Female","90","85","57310","56340"
"In post","2021","Declared disabled","Digital, Data & Technology","G6/G7","Male","145","140","57570","56680"
"In post","2021","Declared disabled","Digital, Data & Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","SCS level","Female","[c]","[c]","[c]","[c]"
