"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Heterosexual / straight","45","40","26990","26720"
"In post","2021","Declared disabled","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Heterosexual / straight","45","45","55530","54540"
"In post","2021","Declared disabled","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Heterosexual / straight","80","80","32520","33300"
"In post","2021","Declared disabled","Commercial","HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Heterosexual / straight","150","145","42410","41920"
"In post","2021","Declared disabled","Commercial","SEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
