"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","AO","60","55","24530","24900"
"In post","2021","Analysis","London","EO","260","255","28790","28650"
"In post","2021","Analysis","London","G6","415","395","74820","71230"
"In post","2021","Analysis","London","G7","1025","985","57020","56750"
"In post","2021","Analysis","London","HEO","1040","1025","34980","34310"
"In post","2021","Analysis","London","SCS level","120","115","91600","82020"
"In post","2021","Analysis","London","SEO","535","520","43540","42890"
"In post","2021","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Analysis","Outside London","AO","135","130","20380","21050"
"In post","2021","Analysis","Outside London","EO","470","440","25160","24920"
"In post","2021","Analysis","Outside London","G6","155","150","63760","61990"
"In post","2021","Analysis","Outside London","G7","820","780","50800","49860"
"In post","2021","Analysis","Outside London","HEO","1115","1070","30720","29750"
"In post","2021","Analysis","Outside London","SCS level","40","40","80620","74100"
"In post","2021","Analysis","Outside London","SEO","1015","965","38320","37320"
"In post","2021","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AO","95","90","24200","24400"
"In post","2021","Commercial","London","EO","165","160","29020","29000"
"In post","2021","Commercial","London","G6","250","245","77710","75000"
"In post","2021","Commercial","London","G7","410","400","58070","56400"
"In post","2021","Commercial","London","HEO","190","190","35030","34550"
"In post","2021","Commercial","London","SCS level","360","350","98860","84350"
"In post","2021","Commercial","London","SEO","400","395","44330","43500"
"In post","2021","Commercial","London","Unknown","10","10","45860","41060"
"In post","2021","Commercial","Outside London","AA","35","35","21720","20350"
"In post","2021","Commercial","Outside London","AO","385","360","21630","21130"
"In post","2021","Commercial","Outside London","EO","690","655","26270","26670"
"In post","2021","Commercial","Outside London","G6","340","335","71610","67390"
"In post","2021","Commercial","Outside London","G7","725","710","52930","51560"
"In post","2021","Commercial","Outside London","HEO","1035","995","32360","33000"
"In post","2021","Commercial","Outside London","SCS level","220","220","83490","72130"
"In post","2021","Commercial","Outside London","SEO","1375","1335","41220","40580"
"In post","2021","Commercial","Outside London","Unknown","225","220","40550","37560"
"In post","2021","Commercial","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","HEO","10","10","37810","36460"
"In post","2021","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
