"Status","Year","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Female","105","95","41970","41990"
"In post","2021","Analysis","Digital, Data and Technology","Male","135","135","42370","42220"
"In post","2021","Analysis","Economics","Female","435","415","46270","37950"
"In post","2021","Analysis","Economics","Male","840","835","46560","40480"
"In post","2021","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Finance","Male","30","30","45530","37660"
"In post","2021","Analysis","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Female","135","130","51920","53360"
"In post","2021","Analysis","Intelligence Analysis","Male","150","150","52390","53360"
"In post","2021","Analysis","Knowledge and Information Management","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Female","325","295","31620","29540"
"In post","2021","Analysis","Operational Delivery","Male","265","255","33270","30130"
"In post","2021","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Female","230","215","43040","39000"
"In post","2021","Analysis","Operational Research","Male","430","420","44750","46080"
"In post","2021","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Female","80","70","60160","58760"
"In post","2021","Analysis","Other","Male","140","135","66740","57250"
"In post","2021","Analysis","Policy","Female","180","165","47430","45250"
"In post","2021","Analysis","Policy","Male","165","160","47630","45540"
"In post","2021","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Female","270","250","32670","29680"
"In post","2021","Analysis","Science and Engineering","Male","400","390","38070","35900"
"In post","2021","Analysis","Social Research","Female","575","540","41330","37020"
"In post","2021","Analysis","Social Research","Male","290","285","41240","37020"
"In post","2021","Analysis","Social Research","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Statistics","Female","815","770","42710","38770"
"In post","2021","Analysis","Statistics","Male","950","930","43630","39850"
"In post","2021","Analysis","Statistics","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Tax","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","35","35","46020","41760"
"In post","2021","Analysis","Unknown","Male","60","60","44470","41760"
"In post","2021","Commercial","Commercial","Female","2215","2105","38880","36460"
"In post","2021","Commercial","Commercial","Male","1880","1850","42360","40000"
"In post","2021","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Female","40","40","31330","27680"
"In post","2021","Commercial","Finance","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Female","330","315","30720","26670"
"In post","2021","Commercial","Knowledge and Information Management","Male","355","350","36140","33300"
"In post","2021","Commercial","Operational Delivery","Female","185","170","36510","33790"
"In post","2021","Commercial","Operational Delivery","Male","225","225","48070","41100"
"In post","2021","Commercial","Other","Female","35","30","37410","32390"
"In post","2021","Commercial","Other","Male","30","30","51830","46510"
"In post","2021","Commercial","Policy","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Male","50","50","47750","43600"
"In post","2021","Commercial","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Female","20","15","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Male","90","90","41890","41970"
"In post","2021","Commercial","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","670","655","65860","62010"
"In post","2021","Commercial","Unknown","Male","770","765","73540","65000"
"In post","2021","Commercial","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Female","2005","1905","41090","37910"
"In post","2021","Communications","Communications","Male","1420","1405","41630","37920"
"In post","2021","Communications","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2021","Communications","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Communications","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Female","765","690","29930","26520"
"In post","2021","Communications","Operational Delivery","Male","765","745","29870","25980"
"In post","2021","Communications","Other","Female","80","75","30500","27290"
"In post","2021","Communications","Other","Male","175","170","23790","20410"
"In post","2021","Communications","Policy","Female","20","15","[c]","[c]"
"In post","2021","Communications","Policy","Male","15","15","[c]","[c]"
"In post","2021","Communications","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","Communications","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Female","975","920","27400","25560"
"In post","2021","Communications","Tax","Male","1165","1150","27390","25560"
"In post","2021","Communications","Unknown","Female","440","430","38720","33390"
"In post","2021","Communications","Unknown","Male","350","350","36880","31810"
"In post","2021","Counter Fraud","Counter Fraud","Female","275","260","38820","36030"
"In post","2021","Counter Fraud","Counter Fraud","Male","395","385","42080","39490"
"In post","2021","Counter Fraud","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","Female","85","80","36840","31960"
"In post","2021","Counter Fraud","Intelligence Analysis","Male","110","105","38700","36160"
"In post","2021","Counter Fraud","Knowledge and Information Management","Female","20","15","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Male","20","20","[c]","[c]"
"In post","2021","Counter Fraud","Legal","Female","1405","1310","30010","28130"
"In post","2021","Counter Fraud","Legal","Male","1935","1885","32370","31810"
"In post","2021","Counter Fraud","Operational Delivery","Female","1625","1445","29530","28130"
"In post","2021","Counter Fraud","Operational Delivery","Male","1265","1220","30940","28130"
"In post","2021","Counter Fraud","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Male","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Other","Female","175","150","36950","31810"
"In post","2021","Counter Fraud","Other","Male","160","150","40580","35000"
"In post","2021","Counter Fraud","Policy","Female","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Policy","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Tax","Female","820","750","37430","32100"
"In post","2021","Counter Fraud","Tax","Male","1085","1040","40690","36160"
"In post","2021","Counter Fraud","Unknown","Female","100","95","39130","34550"
"In post","2021","Counter Fraud","Unknown","Male","120","115","38380","32210"
"In post","2021","Debt","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","Female","2080","1740","23890","21440"
"In post","2021","Debt","Operational Delivery","Male","1500","1425","24020","21440"
"In post","2021","Debt","Tax","Female","520","500","20810","20140"
"In post","2021","Debt","Tax","Male","475","465","20670","20140"
"In post","2021","Debt","Unknown","Female","45","40","24840","20140"
"In post","2021","Debt","Unknown","Male","50","50","24060","20140"
"In post","2021","Digital, Data & Technology","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Female","3845","3655","39970","36780"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Male","7005","6905","41480","38450"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Female","65","60","35040","33640"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Male","80","80","40350","39120"
"In post","2021","Digital, Data & Technology","Operational Delivery","Female","250","235","33760","31810"
"In post","2021","Digital, Data & Technology","Operational Delivery","Male","225","215","36820","31810"
"In post","2021","Digital, Data & Technology","Operational Research","Female","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Male","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Female","20","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Male","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Male","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Female","165","145","39320","39650"
"In post","2021","Digital, Data & Technology","Science and Engineering","Male","370","355","44190","40880"
"In post","2021","Digital, Data & Technology","Security","Female","20","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Male","30","25","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Female","35","35","37560","36160"
"In post","2021","Digital, Data & Technology","Tax","Male","35","35","35370","31990"
"In post","2021","Digital, Data & Technology","Unknown","Female","545","535","47440","47720"
"In post","2021","Digital, Data & Technology","Unknown","Male","790","780","50080","54700"
"In post","2021","Finance","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Finance","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Finance","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Female","75","70","43860","40800"
"In post","2021","Finance","Corporate Finance","Male","60","60","49560","46080"
"In post","2021","Finance","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2021","Finance","Economics","Female","50","50","44150","36820"
"In post","2021","Finance","Economics","Male","45","45","44340","40650"
"In post","2021","Finance","Finance","Female","4265","3945","37290","33300"
"In post","2021","Finance","Finance","Male","3285","3225","43000","39000"
"In post","2021","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Female","5","5","[c]","[c]"
"In post","2021","Finance","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2021","Finance","Knowledge and Information Management","Male","10","10","[c]","[c]"
"In post","2021","Finance","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Delivery","Female","495","430","28080","25560"
"In post","2021","Finance","Operational Delivery","Male","370","365","29810","25560"
"In post","2021","Finance","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other","Female","110","100","39790","33110"
