"Status","Year","Disability","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","London","380","355","49660","51250"
"In post","2021","Declared disabled","Attorney General's Departments","Outside London","550","505","40760","36240"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","495","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office","Outside London","195","185","34960","33140"
"In post","2021","Declared disabled","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","495","485","46800","41100"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","535","500","33600","31000"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","110","110","47390","40690"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","London","215","205","49700","45940"
"In post","2021","Declared disabled","Department for Education","Outside London","500","475","38060","36500"
"In post","2021","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","London","260","255","41640","38750"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","890","835","32090","29180"
"In post","2021","Declared disabled","Department for International Trade","London","170","170","44700","38540"
"In post","2021","Declared disabled","Department for International Trade","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","London","220","215","43520","36650"
"In post","2021","Declared disabled","Department for Transport","Outside London","1165","1005","26670","26350"
"In post","2021","Declared disabled","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","London","1560","1435","33390","31060"
"In post","2021","Declared disabled","Department for Work and Pensions","Outside London","13845","12085","26580","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","140","130","30200","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","London","245","230","44680","38910"
"In post","2021","Declared disabled","Department of Health and Social Care","Outside London","280","260","37900","35050"
"In post","2021","Declared disabled","ESTYN","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Outside London","45","45","33020","28800"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","London","420","410","45850","39010"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","215","205","35040","33930"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","165","165","49260","52550"
"In post","2021","Declared disabled","HM Land Registry","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Outside London","470","405","30150","27130"
"In post","2021","Declared disabled","HM Revenue and Customs","London","745","695","42400","37490"
"In post","2021","Declared disabled","HM Revenue and Customs","Outside London","4990","4435","29320","25560"
"In post","2021","Declared disabled","HM Treasury","London","205","200","46630","42900"
"In post","2021","Declared disabled","HM Treasury","Outside London","40","40","43230","41980"
"In post","2021","Declared disabled","Home Office","London","1200","1110","37940","34630"
"In post","2021","Declared disabled","Home Office","Outside London","1845","1680","27010","25120"
"In post","2021","Declared disabled","Home Office","Overseas","20","20","[c]","[c]"
"In post","2021","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","London","395","385","40420","37640"
"In post","2021","Declared disabled","Ministry of Defence","Outside London","4835","4635","32680","30530"
"In post","2021","Declared disabled","Ministry of Defence","Overseas","25","25","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","London","200","200","45490","40910"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Outside London","135","130","35420","30870"
"In post","2021","Declared disabled","Ministry of Justice","London","1530","1465","34820","31390"
"In post","2021","Declared disabled","Ministry of Justice","Outside London","7430","6880","28230","25790"
"In post","2021","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","London","65","60","40420","36950"
"In post","2021","Declared disabled","National Crime Agency","Outside London","130","125","36200","36410"
"In post","2021","Declared disabled","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","London","40","40","52870","51360"
"In post","2021","Declared disabled","Office for Standards in Education","Outside London","95","90","42250","39850"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Outside London","35","30","35880","29000"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Outside London","50","50","41290","35760"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Outside London","1735","1640","35980","33640"
"In post","2021","Declared disabled","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","London","35","30","29360","27690"
"In post","2021","Declared disabled","UK Export Finance","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","London","35","30","38400","32540"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Outside London","495","430","31170","29540"
"In post","2021","Declared disabled","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Outside London","325","300","38660","37410"
"In post","2021","Declared disabled","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Departments","London","3285","3095","50320","51250"
"In post","2021","Declared non-disabled","Attorney General's Departments","Outside London","3470","3180","41790","38180"
"In post","2021","Declared non-disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office","London","3430","3375","52450","54700"
"In post","2021","Declared non-disabled","Cabinet Office","Outside London","940","895","37280","33300"
"In post","2021","Declared non-disabled","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office","Unknown","125","125","42240","37190"
"In post","2021","Declared non-disabled","Chancellor's other departments","London","290","280","61070","50060"
"In post","2021","Declared non-disabled","Chancellor's other departments","Outside London","40","40","50240","44000"
"In post","2021","Declared non-disabled","Charity Commission","London","40","40","43450","37910"
"In post","2021","Declared non-disabled","Charity Commission","Outside London","175","165","33420","29160"
"In post","2021","Declared non-disabled","Competition and Markets Authority","London","660","640","59810","56360"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Outside London","50","50","55180","55210"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","London","3755","3660","49880","53380"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Outside London","5025","4760","37760","36740"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Overseas","30","30","[c]","[c]"
