"Status","Year","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Female","65","65","40050","39040"
"In post","2021","Commercial","East Midlands (England)","Male","65","65","45880","46870"
"In post","2021","Commercial","East of England","Female","140","130","36900","35630"
"In post","2021","Commercial","East of England","Male","110","110","41660","37320"
"In post","2021","Commercial","London","Female","465","450","45900","41330"
"In post","2021","Commercial","London","Male","415","410","49660","45810"
"In post","2021","Commercial","North East (England)","Female","60","55","40740","37030"
"In post","2021","Commercial","North East (England)","Male","60","60","45420","42630"
"In post","2021","Commercial","North West (England)","Female","290","275","37930","35760"
"In post","2021","Commercial","North West (England)","Male","225","220","39190","36500"
"In post","2021","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Female","140","135","35050","33930"
"In post","2021","Commercial","Scotland","Male","140","135","36290","34060"
"In post","2021","Commercial","South East (England)","Female","255","245","36200","34800"
"In post","2021","Commercial","South East (England)","Male","205","205","41270","40330"
"In post","2021","Commercial","South West (England)","Female","900","845","37640","34800"
"In post","2021","Commercial","South West (England)","Male","820","805","41580","39650"
"In post","2021","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Wales","Female","165","150","33520","31090"
"In post","2021","Commercial","Wales","Male","165","160","36480","32180"
"In post","2021","Commercial","West Midlands (England)","Female","140","135","38160","36780"
"In post","2021","Commercial","West Midlands (England)","Male","110","105","40810","38280"
"In post","2021","Commercial","Yorkshire and The Humber","Female","220","210","39360","36820"
"In post","2021","Commercial","Yorkshire and The Humber","Male","150","150","41500","37240"
"In post","2021","Communications","East Midlands (England)","Female","70","65","36170","33960"
"In post","2021","Communications","East Midlands (England)","Male","35","35","36600","34610"
"In post","2021","Communications","East of England","Female","45","45","34610","32220"
"In post","2021","Communications","East of England","Male","45","45","33800","32640"
"In post","2021","Communications","London","Female","1235","1195","45780","42200"
"In post","2021","Communications","London","Male","855","850","46940","42700"
"In post","2021","Communications","North East (England)","Female","80","70","32660","30090"
"In post","2021","Communications","North East (England)","Male","40","40","35470","31840"
"In post","2021","Communications","North West (England)","Female","125","115","36400","33620"
"In post","2021","Communications","North West (England)","Male","80","80","36330","35110"
