"Status","Year","Parent_department","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","Female","45","45","45160","39750"
"In post","2021","Attorney General's Departments","Communications","London","Male","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Female","110","110","42550","35480"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Male","170","165","47030","41140"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Female","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Male","55","55","44350","40170"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","Female","50","45","37170","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","Male","50","50","38030","35750"
"In post","2021","Attorney General's Departments","Finance","London","Female","35","30","39450","31630"
"In post","2021","Attorney General's Departments","Finance","London","Male","30","30","46250","38320"
"In post","2021","Attorney General's Departments","Finance","Outside London","Female","45","40","28670","27890"
"In post","2021","Attorney General's Departments","Finance","Outside London","Male","30","30","32230","27050"
"In post","2021","Attorney General's Departments","Human Resources","London","Female","80","75","42710","38010"
"In post","2021","Attorney General's Departments","Human Resources","London","Male","35","35","40320","34160"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","Female","80","75","39080","33310"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","Female","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","London","Female","1760","1600","59360","59160"
"In post","2021","Attorney General's Departments","Legal","London","Male","965","945","61520","62590"
"In post","2021","Attorney General's Departments","Legal","Outside London","Female","1535","1370","52690","53850"
"In post","2021","Attorney General's Departments","Legal","Outside London","Male","995","965","55110","55610"
"In post","2021","Attorney General's Departments","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
