"Status","Year","Organisation","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Southern Scotland","Female","75","65","30300","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","Southern Scotland","Male","40","35","34330","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Female","60","55","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Male","35","35","29750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Female","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Female","115","105","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Male","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland and Tyne and Wear","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland and Tyne and Wear","Male","45","45","30700","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Female","50","45","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","30","30","31860","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Female","60","55","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Male","35","35","31530","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","Female","55","55","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","Male","30","30","31820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","Female","40","35","31420","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","Male","30","30","32250","30950"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","East Anglia","Female","45","40","30270","26520"
