"Status","Year","Ethnicity","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Female","Heterosexual / straight","3365","2850","22070","21300"
"In post","2021","Asian","AA/AO","Female","LGBO","95","75","22600","21440"
"In post","2021","Asian","AA/AO","Female","Undeclared","405","330","22420","21440"
"In post","2021","Asian","AA/AO","Female","Unknown","730","550","22150","21010"
"In post","2021","Asian","AA/AO","Male","Heterosexual / straight","2740","2610","22420","21010"
"In post","2021","Asian","AA/AO","Male","LGBO","90","85","22000","21010"
"In post","2021","Asian","AA/AO","Male","Undeclared","180","170","22200","21150"
"In post","2021","Asian","AA/AO","Male","Unknown","395","365","22230","21010"
"In post","2021","Asian","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Female","Heterosexual / straight","4455","4065","28320","28010"
"In post","2021","Asian","EO","Female","LGBO","85","80","28490","27680"
"In post","2021","Asian","EO","Female","Undeclared","360","315","28550","28860"
"In post","2021","Asian","EO","Female","Unknown","720","610","28620","27570"
"In post","2021","Asian","EO","Male","Heterosexual / straight","3515","3445","28050","27570"
"In post","2021","Asian","EO","Male","LGBO","80","80","28280","27570"
"In post","2021","Asian","EO","Male","Undeclared","205","195","28030","27570"
"In post","2021","Asian","EO","Male","Unknown","385","370","28270","27570"
"In post","2021","Asian","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Female","Heterosexual / straight","1375","1325","58110","56540"
"In post","2021","Asian","G6/G7","Female","LGBO","30","30","[c]","[c]"
"In post","2021","Asian","G6/G7","Female","Undeclared","70","70","58320","56730"
"In post","2021","Asian","G6/G7","Female","Unknown","150","135","58480","55770"
"In post","2021","Asian","G6/G7","Male","Heterosexual / straight","1150","1140","58890","57460"
"In post","2021","Asian","G6/G7","Male","LGBO","45","45","58140","56100"
"In post","2021","Asian","G6/G7","Male","Undeclared","50","50","60250","58000"
"In post","2021","Asian","G6/G7","Male","Unknown","135","130","60500","57720"
"In post","2021","Asian","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Female","Heterosexual / straight","130","120","90720","88360"
"In post","2021","Asian","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","SCS level","Male","Heterosexual / straight","120","120","92980","90500"
"In post","2021","Asian","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
