"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Manchester","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Sheffield","Female","25","25","[c]","[c]"
