"Status","Year","Function_of_post","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Female","65","55","64180","65470"
"In post","2021","Analysis","Chancellor's other departments","London","Male","115","110","69210","58450"
"In post","2021","Analysis","Chancellor's other departments","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Female","50","50","58250","56360"
"In post","2021","Analysis","Competition and Markets Authority","London","Male","80","75","62430","57880"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Female","105","105","43130","35640"
