"Status","Year","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Heterosexual / straight","385","370","40960","38780"
"In post","2021","Declared disabled","Commercial","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Undeclared","55","55","38010","36660"
"In post","2021","Declared disabled","Commercial","Unknown","40","35","33430","31810"
"In post","2021","Declared disabled","Communications","Heterosexual / straight","190","185","37030","34640"
"In post","2021","Declared disabled","Communications","LGBO","30","30","38870","35230"
"In post","2021","Declared disabled","Communications","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Heterosexual / straight","55","50","34430","31000"
"In post","2021","Declared disabled","Counter Fraud","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Heterosexual / straight","750","725","39560","36160"
"In post","2021","Declared disabled","Digital, Data and Technology","LGBO","105","100","39140","36500"
"In post","2021","Declared disabled","Digital, Data and Technology","Undeclared","115","110","39720","37240"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","70","65","35220","33690"
"In post","2021","Declared disabled","Economics","Heterosexual / straight","75","75","47010","46220"
"In post","2021","Declared disabled","Economics","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Economics","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Heterosexual / straight","615","580","37910","33790"
"In post","2021","Declared disabled","Finance","LGBO","30","30","45310","40650"
"In post","2021","Declared disabled","Finance","Undeclared","80","75","36890","31810"
"In post","2021","Declared disabled","Finance","Unknown","40","35","33460","31810"
"In post","2021","Declared disabled","Human Resources","Heterosexual / straight","770","730","40010","36030"
"In post","2021","Declared disabled","Human Resources","LGBO","90","85","40860","35000"
"In post","2021","Declared disabled","Human Resources","Undeclared","80","75","39520","35200"
"In post","2021","Declared disabled","Human Resources","Unknown","40","35","37690","32420"
"In post","2021","Declared disabled","Inspector of Education and Training","Heterosexual / straight","55","50","61590","51360"
"In post","2021","Declared disabled","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Heterosexual / straight","245","230","33240","30830"
"In post","2021","Declared disabled","Intelligence Analysis","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Undeclared","35","35","33810","31360"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Heterosexual / straight","65","65","44110","39980"
"In post","2021","Declared disabled","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Heterosexual / straight","65","65","46950","46130"
"In post","2021","Declared disabled","International Trade","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Heterosexual / straight","195","185","34640","33000"
"In post","2021","Declared disabled","Knowledge and Information Management","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Undeclared","45","45","36880","33460"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","Heterosexual / straight","705","645","48360","50500"
"In post","2021","Declared disabled","Legal","LGBO","75","70","52970","52490"
"In post","2021","Declared disabled","Legal","Undeclared","100","90","48210","46590"
"In post","2021","Declared disabled","Legal","Unknown","95","85","46560","49150"
"In post","2021","Declared disabled","Medicine","Heterosexual / straight","95","85","54540","40890"
"In post","2021","Declared disabled","Medicine","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Heterosexual / straight","12935","11755","28120","25580"
"In post","2021","Declared disabled","Operational Delivery","LGBO","1295","1245","28340","25830"
"In post","2021","Declared disabled","Operational Delivery","Undeclared","1875","1655","27560","25630"
"In post","2021","Declared disabled","Operational Delivery","Unknown","1240","1075","27250","25560"
"In post","2021","Declared disabled","Operational Research","Heterosexual / straight","110","105","42100","38800"
"In post","2021","Declared disabled","Operational Research","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Heterosexual / straight","1485","1405","28320","25380"
"In post","2021","Declared disabled","Other","LGBO","100","95","28470","26350"
"In post","2021","Declared disabled","Other","Undeclared","225","210","28370","23990"
"In post","2021","Declared disabled","Other","Unknown","90","85","30220","27580"
"In post","2021","Declared disabled","Planning","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Heterosexual / straight","1760","1705","44830","39900"
"In post","2021","Declared disabled","Policy","LGBO","335","330","44610","40050"
"In post","2021","Declared disabled","Policy","Undeclared","240","235","43970","40050"
"In post","2021","Declared disabled","Policy","Unknown","125","115","49250","50050"
"In post","2021","Declared disabled","Project Delivery","Heterosexual / straight","1140","1100","40190","38310"
"In post","2021","Declared disabled","Project Delivery","LGBO","110","110","40040","35760"
"In post","2021","Declared disabled","Project Delivery","Undeclared","155","145","43170","40580"
"In post","2021","Declared disabled","Project Delivery","Unknown","65","65","38910","35000"
"In post","2021","Declared disabled","Property","Heterosexual / straight","440","415","34890","33250"
"In post","2021","Declared disabled","Property","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Property","Undeclared","65","65","38320","33630"
"In post","2021","Declared disabled","Property","Unknown","35","35","35320","32100"
"In post","2021","Declared disabled","Psychology","Heterosexual / straight","85","85","33760","30450"
"In post","2021","Declared disabled","Psychology","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Heterosexual / straight","810","780","36660","35120"
"In post","2021","Declared disabled","Science and Engineering","LGBO","85","80","36130","30930"
"In post","2021","Declared disabled","Science and Engineering","Undeclared","125","115","37530","37290"
"In post","2021","Declared disabled","Science and Engineering","Unknown","105","100","37290","36490"
"In post","2021","Declared disabled","Security","Heterosexual / straight","450","435","31220","28070"
"In post","2021","Declared disabled","Security","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Security","Undeclared","85","85","34850","37130"
"In post","2021","Declared disabled","Security","Unknown","35","35","31980","28820"
"In post","2021","Declared disabled","Social Research","Heterosexual / straight","70","65","42710","39460"
"In post","2021","Declared disabled","Social Research","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Heterosexual / straight","125","120","43760","39140"
"In post","2021","Declared disabled","Statistics","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Tax","Heterosexual / straight","990","915","35250","31810"
"In post","2021","Declared disabled","Tax","LGBO","120","110","34200","31810"
"In post","2021","Declared disabled","Tax","Undeclared","130","120","36630","31870"
"In post","2021","Declared disabled","Tax","Unknown","125","110","34560","32100"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","12625","11210","28750","27570"
"In post","2021","Declared disabled","Unknown","LGBO","1390","1315","29910","27570"
"In post","2021","Declared disabled","Unknown","Undeclared","1795","1575","27950","27570"
"In post","2021","Declared disabled","Unknown","Unknown","1680","1430","26980","27570"
"In post","2021","Declared disabled","Veterinarian","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Heterosexual / straight","2830","2740","40950","37460"
"In post","2021","Declared non-disabled","Commercial","LGBO","110","110","37100","33300"
"In post","2021","Declared non-disabled","Commercial","Undeclared","250","235","39990","36970"
"In post","2021","Declared non-disabled","Commercial","Unknown","330","320","41580","39650"
"In post","2021","Declared non-disabled","Communications","Heterosexual / straight","2050","1975","42220","38630"
"In post","2021","Declared non-disabled","Communications","LGBO","140","135","43050","40610"
"In post","2021","Declared non-disabled","Communications","Undeclared","175","170","38790","37410"
"In post","2021","Declared non-disabled","Communications","Unknown","190","180","39730","36790"
"In post","2021","Declared non-disabled","Corporate Finance","Heterosexual / straight","105","100","47160","46080"
"In post","2021","Declared non-disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Unknown","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Heterosexual / straight","475","450","37590","34990"
"In post","2021","Declared non-disabled","Counter Fraud","LGBO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Undeclared","35","35","35470","34050"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","80","75","41610","39490"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Heterosexual / straight","6540","6360","42840","39040"
"In post","2021","Declared non-disabled","Digital, Data and Technology","LGBO","300","300","42700","38630"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Undeclared","655","635","42020","39250"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","885","855","40090","37720"
"In post","2021","Declared non-disabled","Economics","Heterosexual / straight","1140","1115","48740","49320"
"In post","2021","Declared non-disabled","Economics","LGBO","90","90","46460","40930"
"In post","2021","Declared non-disabled","Economics","Undeclared","110","105","48920","52750"
"In post","2021","Declared non-disabled","Economics","Unknown","60","60","58970","58120"
"In post","2021","Declared non-disabled","Finance","Heterosexual / straight","5365","5120","41260","37410"
