"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","AA/AO","490","425","21470","21010"
"In post","2021","East Midlands (England)","Derby","EO","305","275","27480","27570"
"In post","2021","East Midlands (England)","Derby","G6/G7","25","25","71960","77220"
"In post","2021","East Midlands (England)","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO/HEO","55","50","35330","34290"
"In post","2021","East Midlands (England)","Derby","Unknown","140","125","30130","29930"
"In post","2021","East Midlands (England)","East Derbyshire","AA/AO","105","85","20350","20300"
"In post","2021","East Midlands (England)","East Derbyshire","EO","205","175","27320","27570"
"In post","2021","East Midlands (England)","East Derbyshire","G6/G7","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","SEO/HEO","35","30","34740","34290"
"In post","2021","East Midlands (England)","East Derbyshire","Unknown","45","45","29220","28200"
"In post","2021","East Midlands (England)","Leicester","AA/AO","1200","1055","21120","21010"
"In post","2021","East Midlands (England)","Leicester","EO","750","685","27030","27570"
"In post","2021","East Midlands (England)","Leicester","G6/G7","110","105","54290","52580"
"In post","2021","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","SEO/HEO","385","360","35110","33840"
"In post","2021","East Midlands (England)","Leicester","Unknown","165","150","29050","28200"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","960","890","23180","21580"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","EO","545","510","27620","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","60","55","65970","60470"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","415","395","38370","37890"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Unknown","45","40","33460","33030"
"In post","2021","East Midlands (England)","Lincolnshire","AA/AO","1295","1210","22240","21010"
"In post","2021","East Midlands (England)","Lincolnshire","EO","750","700","27810","27570"
"In post","2021","East Midlands (England)","Lincolnshire","G6/G7","80","75","59080","55270"
"In post","2021","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","SEO/HEO","570","550","36560","35050"
"In post","2021","East Midlands (England)","Lincolnshire","Unknown","135","130","30830","30210"
"In post","2021","East Midlands (England)","North Northamptonshire","AA/AO","205","165","21220","21010"
"In post","2021","East Midlands (England)","North Northamptonshire","EO","250","235","27640","27570"
"In post","2021","East Midlands (England)","North Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Northamptonshire","SEO/HEO","30","25","34150","33300"
"In post","2021","East Midlands (England)","North Northamptonshire","Unknown","25","25","28140","30210"
"In post","2021","East Midlands (England)","North Nottinghamshire","AA/AO","420","395","24120","23240"
"In post","2021","East Midlands (England)","North Nottinghamshire","EO","320","295","27800","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","G6/G7","20","20","60760","57510"
"In post","2021","East Midlands (England)","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","North Nottinghamshire","SEO/HEO","135","130","39020","37280"
"In post","2021","East Midlands (England)","North Nottinghamshire","Unknown","95","90","31560","30880"
"In post","2021","East Midlands (England)","Nottingham","AA/AO","2085","1895","21190","20600"
"In post","2021","East Midlands (England)","Nottingham","EO","2145","1995","26100","25860"
"In post","2021","East Midlands (England)","Nottingham","G6/G7","950","915","56200","52580"
"In post","2021","East Midlands (England)","Nottingham","SCS level","65","60","90540","82670"
"In post","2021","East Midlands (England)","Nottingham","SEO/HEO","2535","2410","34880","32160"
"In post","2021","East Midlands (England)","Nottingham","Unknown","175","155","28100","28200"
"In post","2021","East Midlands (England)","South and West Derbyshire","AA/AO","345","310","24550","22850"
"In post","2021","East Midlands (England)","South and West Derbyshire","EO","370","330","27880","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","G6/G7","105","95","60820","57510"
"In post","2021","East Midlands (England)","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South and West Derbyshire","SEO/HEO","295","275","38080","36480"
"In post","2021","East Midlands (England)","South and West Derbyshire","Unknown","40","35","33450","37170"
"In post","2021","East Midlands (England)","South Nottinghamshire","AA/AO","350","325","24130","22160"
"In post","2021","East Midlands (England)","South Nottinghamshire","EO","205","190","28130","27570"
"In post","2021","East Midlands (England)","South Nottinghamshire","G6/G7","35","35","63650","59730"
"In post","2021","East Midlands (England)","South Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","South Nottinghamshire","SEO/HEO","175","165","37620","36480"
"In post","2021","East Midlands (England)","South Nottinghamshire","Unknown","10","10","36100","37850"
"In post","2021","East Midlands (England)","West Northamptonshire","AA/AO","550","500","21800","20320"
"In post","2021","East Midlands (England)","West Northamptonshire","EO","275","255","27210","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","G6/G7","25","25","59710","55610"
"In post","2021","East Midlands (England)","West Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","West Northamptonshire","SEO/HEO","125","115","36110","35310"
"In post","2021","East Midlands (England)","West Northamptonshire","Unknown","120","115","28720","28200"
"In post","2021","East of England","Bedford","AA/AO","290","280","25890","25840"
"In post","2021","East of England","Bedford","EO","285","260","27760","27570"
"In post","2021","East of England","Bedford","G6/G7","25","25","57840","53080"
"In post","2021","East of England","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedford","SEO/HEO","160","155","38070","36950"
"In post","2021","East of England","Bedford","Unknown","70","60","27390","23840"
"In post","2021","East of England","Breckland and South Norfolk","AA/AO","300","285","24220","23420"
"In post","2021","East of England","Breckland and South Norfolk","EO","130","125","28750","27570"
"In post","2021","East of England","Breckland and South Norfolk","G6/G7","10","10","67620","67320"
"In post","2021","East of England","Breckland and South Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Breckland and South Norfolk","SEO/HEO","75","70","38300","36670"
"In post","2021","East of England","Breckland and South Norfolk","Unknown","10","10","[c]","[c]"
"In post","2021","East of England","Cambridgeshire CC","AA/AO","1135","1060","25360","23490"
"In post","2021","East of England","Cambridgeshire CC","EO","710","670","27980","27570"
"In post","2021","East of England","Cambridgeshire CC","G6/G7","305","295","60520","57110"
"In post","2021","East of England","Cambridgeshire CC","SCS level","40","40","103460","103000"
"In post","2021","East of England","Cambridgeshire CC","SEO/HEO","1085","1045","37200","35480"
"In post","2021","East of England","Cambridgeshire CC","Unknown","100","95","30530","30210"
"In post","2021","East of England","Central Bedfordshire","AA/AO","140","135","20780","20920"
"In post","2021","East of England","Central Bedfordshire","EO","125","120","28060","27390"
"In post","2021","East of England","Central Bedfordshire","G6/G7","15","15","66000","64380"
"In post","2021","East of England","Central Bedfordshire","SEO/HEO","140","140","37110","36300"
"In post","2021","East of England","Central Bedfordshire","Unknown","5","5","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","AA/AO","320","300","25510","21580"
"In post","2021","East of England","Essex Haven Gateway","EO","515","480","29800","29290"
"In post","2021","East of England","Essex Haven Gateway","G6/G7","35","35","69600","66250"
"In post","2021","East of England","Essex Haven Gateway","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex Haven Gateway","SEO/HEO","230","220","41010","36730"
"In post","2021","East of England","Essex Haven Gateway","Unknown","30","30","28280","26500"
"In post","2021","East of England","Essex Thames Gateway","AA/AO","335","295","23460","24180"
"In post","2021","East of England","Essex Thames Gateway","EO","410","370","29510","29290"
"In post","2021","East of England","Essex Thames Gateway","G6/G7","5","5","[c]","[c]"
"In post","2021","East of England","Essex Thames Gateway","SEO/HEO","70","65","35980","35790"
"In post","2021","East of England","Essex Thames Gateway","Unknown","115","100","26780","22920"
"In post","2021","East of England","Heart of Essex","AA/AO","445","415","25280","24510"
"In post","2021","East of England","Heart of Essex","EO","330","315","28970","29290"
"In post","2021","East of England","Heart of Essex","G6/G7","100","90","60740","59910"
"In post","2021","East of England","Heart of Essex","SCS level","5","5","[c]","[c]"
"In post","2021","East of England","Heart of Essex","SEO/HEO","170","160","37640","36410"
"In post","2021","East of England","Heart of Essex","Unknown","70","65","29170","30210"
"In post","2021","East of England","Hertfordshire","AA/AO","695","645","25330","24240"
"In post","2021","East of England","Hertfordshire","EO","920","860","29990","29290"
"In post","2021","East of England","Hertfordshire","G6/G7","285","270","60300","59730"
"In post","2021","East of England","Hertfordshire","SCS level","25","25","88790","88300"
"In post","2021","East of England","Hertfordshire","SEO/HEO","660","635","39440","38510"
"In post","2021","East of England","Hertfordshire","Unknown","135","125","29320","28200"
"In post","2021","East of England","Luton","AA/AO","135","120","20370","20650"
"In post","2021","East of England","Luton","EO","280","245","27590","27570"
"In post","2021","East of England","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Luton","SEO/HEO","45","45","34020","32480"
"In post","2021","East of England","Luton","Unknown","85","80","26140","22920"
"In post","2021","East of England","North and West Norfolk","AA/AO","500","470","24190","21240"
"In post","2021","East of England","North and West Norfolk","EO","210","190","28450","27570"
"In post","2021","East of England","North and West Norfolk","G6/G7","10","10","68520","68420"
"In post","2021","East of England","North and West Norfolk","SEO/HEO","175","170","35650","33840"
"In post","2021","East of England","North and West Norfolk","Unknown","30","30","30640","32120"
"In post","2021","East of England","Norwich and East Norfolk","AA/AO","635","565","22200","21010"
"In post","2021","East of England","Norwich and East Norfolk","EO","555","495","27230","27570"
"In post","2021","East of England","Norwich and East Norfolk","G6/G7","120","115","55780","54770"
