"Status","Year","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Heterosexual / straight","155","145","22630","21590"
"In post","2021","Commercial","AA/AO","LGBO","10","5","[c]","[c]"
"In post","2021","Commercial","AA/AO","Undeclared","35","30","21770","21590"
"In post","2021","Commercial","AA/AO","Unknown","75","65","22640","21980"
"In post","2021","Commercial","EO","Heterosexual / straight","515","490","25970","26400"
"In post","2021","Commercial","EO","LGBO","30","30","25670","26000"
"In post","2021","Commercial","EO","Undeclared","65","60","26510","26700"
"In post","2021","Commercial","EO","Unknown","100","95","25730","25890"
"In post","2021","Commercial","G6/G7","Heterosexual / straight","695","675","60090","57530"
"In post","2021","Commercial","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","G6/G7","Undeclared","80","75","61720","57860"
"In post","2021","Commercial","G6/G7","Unknown","215","215","54570","52340"
"In post","2021","Commercial","SCS level","Heterosexual / straight","70","65","90420","83090"
"In post","2021","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Heterosexual / straight","2170","2100","37790","37100"
"In post","2021","Commercial","SEO/HEO","LGBO","95","95","35600","34710"
"In post","2021","Commercial","SEO/HEO","Undeclared","285","275","38510","38560"
"In post","2021","Commercial","SEO/HEO","Unknown","495","475","36960","37400"
"In post","2021","Commercial","Unknown","Heterosexual / straight","165","165","38820","37400"
"In post","2021","Commercial","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","AA/AO","Heterosexual / straight","155","150","22340","21590"
"In post","2021","Communications","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","AA/AO","Undeclared","40","35","22070","21590"
"In post","2021","Communications","AA/AO","Unknown","35","35","22060","21590"
"In post","2021","Communications","EO","Heterosexual / straight","400","380","27420","26930"
"In post","2021","Communications","EO","LGBO","25","25","[c]","[c]"
"In post","2021","Communications","EO","Undeclared","45","45","27750","26930"
"In post","2021","Communications","EO","Unknown","160","155","27450","27270"
"In post","2021","Communications","G6/G7","Heterosexual / straight","605","575","58280","57270"
"In post","2021","Communications","G6/G7","LGBO","50","50","59100","57440"
"In post","2021","Communications","G6/G7","Undeclared","60","60","56100","55590"
"In post","2021","Communications","G6/G7","Unknown","230","225","57830","55210"
"In post","2021","Communications","SCS level","Heterosexual / straight","75","75","86670","81370"
"In post","2021","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Unknown","35","30","86730","79430"
"In post","2021","Communications","SEO/HEO","Heterosexual / straight","1340","1300","37870","37410"
"In post","2021","Communications","SEO/HEO","LGBO","110","110","38550","38610"
"In post","2021","Communications","SEO/HEO","Undeclared","160","155","38330","37600"
"In post","2021","Communications","SEO/HEO","Unknown","415","405","37910","37900"
"In post","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Heterosexual / straight","55","55","57220","56350"
"In post","2021","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Heterosexual / straight","50","45","35890","35060"
"In post","2021","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Heterosexual / straight","40","35","20980","21430"
"In post","2021","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Heterosexual / straight","140","130","26450","25580"
"In post","2021","Counter Fraud","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","25","25","[c]","[c]"
