"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","20","20","38670","38180"
"In post","2021","Analysis","Cabinet Office","25","25","41800","35070"
"In post","2021","Analysis","Chancellor's other departments","185","170","68040","65470"
"In post","2021","Analysis","Charity Commission","15","10","35830","32810"
"In post","2021","Analysis","Competition and Markets Authority","135","130","60200","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","330","325","43760","37820"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","410","390","44360","42920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","590","560","34170","30220"
"In post","2021","Analysis","Department for International Trade","250","245","43170","38540"
"In post","2021","Analysis","Department for Transport","485","470","43730","42470"
"In post","2021","Analysis","Department for Work and Pensions","40","30","44880","39390"
"In post","2021","Analysis","Department of Health and Social Care","290","275","52060","53360"
"In post","2021","Analysis","ESTYN","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","35","30","41980","38430"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","70","65","57670","58370"
"In post","2021","Analysis","HM Land Registry","20","15","45890","36200"
"In post","2021","Analysis","HM Revenue and Customs","690","665","44250","38630"
"In post","2021","Analysis","HM Treasury","155","150","53520","52840"
"In post","2021","Analysis","Ministry of Defence","655","630","40280","37360"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","205","205","46420","43400"
"In post","2021","Analysis","Ministry of Justice","415","400","45180","40480"
"In post","2021","Analysis","Office for Standards in Education","155","145","39800","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","70","65","54970","52390"
"In post","2021","Analysis","Office of Rail and Road","45","45","52060","55430"
"In post","2021","Analysis","Scottish Government","25","25","38470","36780"
"In post","2021","Analysis","UK Export Finance","25","25","44760","38200"
"In post","2021","Analysis","United Kingdom Statistics Authority","1700","1630","37100","35390"
"In post","2021","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","35","35","64820","58590"
"In post","2021","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","25","25","45210","40000"
"In post","2021","Commercial","Cabinet Office","1415","1395","70640","64500"
"In post","2021","Commercial","Chancellor's other departments","10","10","56500","47940"
"In post","2021","Commercial","Charity Commission","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","250","240","43130","41870"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","30","30","52220","51730"
"In post","2021","Commercial","Department for Education","205","200","40580","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","205","195","37720","36970"
"In post","2021","Commercial","Department for International Trade","25","25","37120","38160"
"In post","2021","Commercial","Department for Transport","205","190","33760","31300"
"In post","2021","Commercial","Department for Work and Pensions","45","45","40900","39390"
"In post","2021","Commercial","Department of Health and Social Care","240","235","47480","40650"
"In post","2021","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","15","10","37910","31530"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","190","180","41740","39630"
"In post","2021","Commercial","HM Land Registry","20","20","39980","38550"
"In post","2021","Commercial","HM Revenue and Customs","145","135","36810","35000"
"In post","2021","Commercial","HM Treasury","15","15","53660","39430"
"In post","2021","Commercial","Ministry of Defence","2075","2010","36730","34490"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","25","25","40560","40720"
"In post","2021","Commercial","Ministry of Justice","1050","1020","44220","41100"
"In post","2021","Commercial","National Crime Agency","20","20","44750","45570"
"In post","2021","Commercial","Office for Standards in Education","15","15","35070","32010"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Scottish Government","105","100","31960","25870"
"In post","2021","Commercial","The National Archives","40","40","32110","24510"
"In post","2021","Commercial","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","United Kingdom Statistics Authority","35","35","46660","49100"
"In post","2021","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","85","85","43010","39750"
"In post","2021","Communications","Cabinet Office","340","340","47060","42150"
"In post","2021","Communications","Chancellor's other departments","15","15","48320","46890"
"In post","2021","Communications","Charity Commission","30","30","38850","32810"
"In post","2021","Communications","Competition and Markets Authority","35","35","47210","41980"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","230","220","43730","39820"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","45","40","55500","52120"
"In post","2021","Communications","Department for Education","330","320","39370","36780"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","380","355","37820","36560"
"In post","2021","Communications","Department for International Trade","105","105","42660","38540"
"In post","2021","Communications","Department for Transport","300","285","37770","34710"
"In post","2021","Communications","Department for Work and Pensions","35","35","44460","39390"
"In post","2021","Communications","Department of Health and Social Care","315","305","44020","40650"
"In post","2021","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","35","35","43250","40960"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","145","140","47860","44620"
"In post","2021","Communications","HM Land Registry","30","30","39980","37290"
"In post","2021","Communications","HM Revenue and Customs","4175","4015","29300","25560"
"In post","2021","Communications","HM Treasury","45","45","48210","43090"
"In post","2021","Communications","Ministry of Defence","865","840","32410","29200"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","110","110","41320","34920"
"In post","2021","Communications","Ministry of Justice","155","150","44100","39870"
"In post","2021","Communications","National Crime Agency","30","30","45600","45480"
"In post","2021","Communications","Northern Ireland Office","15","15","46400","37370"
"In post","2021","Communications","Office for Standards in Education","35","35","41730","39850"
"In post","2021","Communications","Office of Gas and Electricity Markets","35","35","44310","36480"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","15","15","41670","38000"
"In post","2021","Communications","Office of Rail and Road","15","15","47110","41160"
"In post","2021","Communications","Other Cabinet Office Agencies","20","20","37710","34800"
"In post","2021","Communications","Scotland Office","5","5","[c]","[c]"
"In post","2021","Communications","Scottish Government","55","50","38750","36780"
"In post","2021","Communications","The National Archives","20","15","34170","29470"
"In post","2021","Communications","UK Export Finance","35","35","58640","49610"
"In post","2021","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","85","80","37320","36030"
"In post","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","15","15","52390","49620"
"In post","2021","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","245","240","45590","40000"
"In post","2021","Counter Fraud","Cabinet Office","95","90","47100","49700"
"In post","2021","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","285","270","39210","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","65","60","30980","26780"
"In post","2021","Counter Fraud","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","HM Revenue and Customs","8835","8295","33150","31810"
"In post","2021","Counter Fraud","HM Treasury","35","35","39590","38090"
"In post","2021","Debt","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs","4650","4200","23180","20140"
"In post","2021","Debt","HM Treasury","10","10","58320","49090"
"In post","2021","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","175","170","39850","38180"
"In post","2021","Digital, Data & Technology","Cabinet Office","970","955","51340","54700"
"In post","2021","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Charity Commission","45","45","36050","37910"
"In post","2021","Digital, Data & Technology","Competition and Markets Authority","65","65","56530","54550"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","1590","1530","41360","39650"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","20","20","54810","56860"
"In post","2021","Digital, Data & Technology","Department for Education","650","640","39700","36780"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","710","685","43180","42440"
"In post","2021","Digital, Data & Technology","Department for International Trade","125","125","46700","43500"
"In post","2021","Digital, Data & Technology","Department for Transport","1180","1155","39470","36030"
"In post","2021","Digital, Data & Technology","Department for Work and Pensions","60","55","39240","33460"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care","355","350","44810","40850"
"In post","2021","Digital, Data & Technology","Food Standards Agency","60","60","44630","40350"
