"Status","Year","Ethnicity","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","London","Heterosexual / straight","275","265","44870","41760"
"In post","2021","Asian","Analysis","London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","Heterosexual / straight","90","85","34660","32010"
"In post","2021","Asian","Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Heterosexual / straight","130","125","46550","40000"
"In post","2021","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Heterosexual / straight","105","105","36450","34020"
"In post","2021","Asian","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
