"Status","Year","Function_of_post","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Outside London","EO","10","10","27170","26700"
"In post","2021","Analysis","East Midlands (England)","Outside London","G7","10","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Outside London","HEO","15","15","32900","32870"
"In post","2021","Analysis","East Midlands (England)","Outside London","SEO","15","15","41980","42520"
"In post","2021","Analysis","East of England","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Outside London","AO","25","25","21210","21050"
"In post","2021","Analysis","East of England","Outside London","EO","55","55","25090","24920"
"In post","2021","Analysis","East of England","Outside London","G6","20","20","61420","59120"
"In post","2021","Analysis","East of England","Outside London","G7","60","60","49390","48080"
"In post","2021","Analysis","East of England","Outside London","HEO","120","115","29930","29270"
"In post","2021","Analysis","East of England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Outside London","SEO","95","90","37290","37280"
"In post","2021","Analysis","London","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","London","AO","60","55","24530","24900"
"In post","2021","Analysis","London","London","EO","260","255","28790","28650"
"In post","2021","Analysis","London","London","G6","415","395","74820","71230"
"In post","2021","Analysis","London","London","G7","1025","985","57020","56750"
"In post","2021","Analysis","London","London","HEO","1040","1025","34980","34310"
"In post","2021","Analysis","London","London","SCS level","120","115","91600","82020"
"In post","2021","Analysis","London","London","SEO","535","520","43540","42890"
"In post","2021","Analysis","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","North East (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Outside London","G7","20","20","52020","50630"
"In post","2021","Analysis","North East (England)","Outside London","HEO","15","15","31130","30190"
