"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","Outside London","1015","900","26450","22920"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","395","345","26830","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","990","930","28920","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","Outside London","7955","7435","31780","27570"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","1155","1050","32860","27970"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","780","730","30500","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","2615","2360","26860","25400"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","2025","1895","29100","26810"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Outside London","510","455","25610","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","1100","1010","26470","24440"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","Outside London","2830","2665","28120","26750"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","Outside London","835","785","30220","28190"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","430","415","30230","27570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","Outside London","2720","2565","34780","31170"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","Outside London","555","490","26280","26700"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","Outside London","525","500","28550","26750"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","Outside London","3375","3200","33980","31220"
"In post","2021","East of England","East Anglia","North and West Norfolk","Outside London","930","860","28020","27420"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","Outside London","1790","1625","29570","27570"
"In post","2021","East of England","East Anglia","Peterborough","Outside London","1665","1500","28180","25330"
"In post","2021","East of England","East Anglia","Suffolk","Outside London","4170","3905","28710","27570"
