"Status","Year","Age","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Outside London","AA","15","10","19700","20600"
"In post","2021","16-19","East Midlands (England)","Outside London","AO","35","35","21050","21010"
"In post","2021","16-19","East Midlands (England)","Outside London","EO","10","10","[c]","[c]"
"In post","2021","16-19","East of England","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Outside London","AO","45","40","22440","21430"
"In post","2021","16-19","East of England","Outside London","EO","10","10","[c]","[c]"
"In post","2021","16-19","London","London","AA","15","15","20010","19060"
"In post","2021","16-19","London","London","AO","50","50","23810","23520"
"In post","2021","16-19","London","London","EO","85","80","26450","26410"
"In post","2021","16-19","London","London","HEO","5","5","[c]","[c]"
"In post","2021","16-19","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Outside London","AO","85","80","20530","20140"
"In post","2021","16-19","North East (England)","Outside London","EO","10","10","25270","25560"
"In post","2021","16-19","North West (England)","Outside London","AA","10","10","18940","18850"
"In post","2021","16-19","North West (England)","Outside London","AO","115","105","20730","20940"
"In post","2021","16-19","North West (England)","Outside London","EO","20","20","24150","25000"
"In post","2021","16-19","Northern Ireland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Outside London","AA","70","70","20540","21150"
"In post","2021","16-19","Scotland","Outside London","AO","90","85","20880","20760"
"In post","2021","16-19","Scotland","Outside London","EO","15","15","20060","17780"
"In post","2021","16-19","South East (England)","Outside London","AA","15","15","19180","18760"
"In post","2021","16-19","South East (England)","Outside London","AO","80","80","22540","21430"
"In post","2021","16-19","South East (England)","Outside London","EO","15","15","24070","23840"
"In post","2021","16-19","South East (England)","Outside London","Unknown","15","15","20430","21150"
"In post","2021","16-19","South West (England)","Outside London","AA","25","25","18070","18850"
"In post","2021","16-19","South West (England)","Outside London","AO","35","35","20260","20170"
"In post","2021","16-19","South West (England)","Outside London","EO","105","105","18810","17780"
"In post","2021","16-19","South West (England)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Outside London","Unknown","15","15","16840","16780"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Wales","Outside London","AA","40","35","17470","18060"
"In post","2021","16-19","Wales","Outside London","AO","75","75","20780","20690"
"In post","2021","16-19","Wales","Outside London","EO","15","15","25070","25200"
"In post","2021","16-19","West Midlands (England)","Outside London","AA","10","10","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Outside London","AO","40","40","21010","21010"
"In post","2021","16-19","West Midlands (England)","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","AA","10","10","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","AO","80","75","20670","20880"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","EO","10","10","25580","27570"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Outside London","AA","170","165","19530","20600"
"In post","2021","20-29","East Midlands (England)","Outside London","AO","1350","1310","22450","22350"
"In post","2021","20-29","East Midlands (England)","Outside London","EO","845","835","26200","26330"
"In post","2021","20-29","East Midlands (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Outside London","G7","45","45","51980","52580"
"In post","2021","20-29","East Midlands (England)","Outside London","HEO","365","360","31260","31810"
"In post","2021","20-29","East Midlands (England)","Outside London","SEO","60","60","38770","38630"
"In post","2021","20-29","East Midlands (England)","Outside London","Unknown","180","175","25190","22920"
"In post","2021","20-29","East of England","Outside London","AA","185","185","20380","20600"
"In post","2021","20-29","East of England","Outside London","AO","1230","1195","24880","24180"
"In post","2021","20-29","East of England","Outside London","EO","850","840","27410","27570"
"In post","2021","20-29","East of England","Outside London","G7","15","15","51140","51120"
"In post","2021","20-29","East of England","Outside London","HEO","280","280","31820","31810"
"In post","2021","20-29","East of England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Outside London","SEO","80","80","40100","39460"
"In post","2021","20-29","East of England","Outside London","Unknown","225","220","24080","22920"
"In post","2021","20-29","London","London","AA","260","250","21750","22210"
"In post","2021","20-29","London","London","AO","2395","2365","26060","25110"
"In post","2021","20-29","London","London","EO","5465","5415","29180","28810"
"In post","2021","20-29","London","London","G6","250","250","65080","64650"
"In post","2021","20-29","London","London","G7","3150","3140","54510","53760"
"In post","2021","20-29","London","London","HEO","8230","8205","33810","33570"
"In post","2021","20-29","London","London","SCS level","35","35","72130","71170"
"In post","2021","20-29","London","London","SEO","2855","2845","41040","40600"
"In post","2021","20-29","London","London","Unknown","355","355","28830","26810"
"In post","2021","20-29","North East (England)","Outside London","AA","100","95","20050","20600"
"In post","2021","20-29","North East (England)","Outside London","AO","1905","1835","21290","21010"
"In post","2021","20-29","North East (England)","Outside London","EO","1160","1145","26190","25560"
"In post","2021","20-29","North East (England)","Outside London","G7","55","55","51350","52580"
"In post","2021","20-29","North East (England)","Outside London","HEO","465","465","31030","31810"
"In post","2021","20-29","North East (England)","Outside London","SEO","140","140","37300","37790"
"In post","2021","20-29","North East (England)","Outside London","Unknown","105","105","24610","22920"
