"Status","Year","Age","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Female","Undeclared","[c]","[c]","[c]","[c]"
